Date,Cases,Tests,ServiceID
2020-04-11,143,4382,MMSD
2020-04-12,145,4494,MMSD
2020-04-13,152,4587,MMSD
2020-04-14,157,4669,MMSD
2020-04-15,158,4762,MMSD
2020-04-16,158,4907,MMSD
2020-04-17,159,5031,MMSD
2020-04-18,161,5173,MMSD
2020-04-19,161,5326,MMSD
2020-04-20,167,5458,MMSD
2020-04-21,189,5557,MMSD
2020-04-22,193,5730,MMSD
2020-04-23,198,6009,MMSD
2020-04-24,201,6293,MMSD
2020-04-25,205,6521,MMSD
2020-04-26,210,6810,MMSD
2020-04-27,212,7048,MMSD
2020-04-28,222,7533,MMSD
2020-04-29,226,8131,MMSD
2020-04-30,231,8330,MMSD
2020-05-01,232,8629,MMSD
2020-05-02,233,8795,MMSD
2020-05-03,235,9007,MMSD
2020-05-04,242,9238,MMSD
2020-05-05,243,9503,MMSD
2020-05-06,250,9759,MMSD
2020-05-07,251,10122,MMSD
2020-05-08,252,10354,MMSD
2020-05-09,255,10609,MMSD
2020-05-10,262,10846,MMSD
2020-05-11,274,11074,MMSD
2020-05-12,276,11376,MMSD
2020-05-13,279,11646,MMSD
2020-05-14,286,11987,MMSD
2020-05-15,294,12865,MMSD
2020-05-16,308,13264,MMSD
2020-05-17,320,13697,MMSD
2020-05-18,321,13906,MMSD
2020-05-19,323,14189,MMSD
2020-05-20,342,14695,MMSD
2020-05-21,351,15761,MMSD
2020-05-22,361,16740,MMSD
2020-05-23,372,17855,MMSD
2020-05-24,372,18134,MMSD
2020-05-25,377,18683,MMSD
2020-05-26,392,19616,MMSD
2020-05-27,418,20303,MMSD
2020-05-28,433,21055,MMSD
2020-05-29,456,21983,MMSD
2020-05-30,468,22510,MMSD
2020-05-31,479,23077,MMSD
2020-06-01,480,23228,MMSD
2020-06-02,493,23731,MMSD
2020-06-03,507,24571,MMSD
2020-06-04,516,25795,MMSD
2020-06-05,524,26772,MMSD
2020-06-06,536,27447,MMSD
2020-06-07,559,27824,MMSD
2020-06-08,569,28503,MMSD
2020-06-09,578,29646,MMSD
2020-06-10,589,30739,MMSD
2020-06-11,604,31123,MMSD
2020-06-12,629,32403,MMSD
2020-06-13,639,33259,MMSD
2020-06-14,654,33689,MMSD
2020-06-15,665,33971,MMSD
2020-06-16,675,35502,MMSD
2020-06-17,692,36235,MMSD
2020-06-18,705,37079,MMSD
2020-06-19,720,38019,MMSD
2020-06-20,740,38648,MMSD
2020-06-21,767,38831,MMSD
2020-06-22,790,39313,MMSD
2020-06-23,833,40653,MMSD
2020-06-24,906,41552,MMSD
2020-06-25,975,42796,MMSD
2020-06-26,1083,43825,MMSD
2020-06-27,1161,44453,MMSD
2020-06-28,1240,44534,MMSD
2020-06-29,1314,44692,MMSD
2020-06-30,1446,45800,MMSD
2020-07-01,1530,46736,MMSD
2020-07-02,1617,49456,MMSD
2020-07-03,1718,51064,MMSD
2020-07-04,1835,51748,MMSD
2020-07-05,1900,51821,MMSD
2020-07-06,1974,52256,MMSD
2020-07-07,2022,54110,MMSD
2020-07-08,2078,55684,MMSD
2020-07-09,2136,58042,MMSD
2020-07-10,2232,59947,MMSD
2020-07-11,2331,60795,MMSD
2020-07-12,2405,61232,MMSD
2020-07-13,2443,61524,MMSD
2020-07-14,2521,63408,MMSD
2020-07-15,2594,64798,MMSD
2020-07-16,2638,66509,MMSD
2020-07-17,2692,68174,MMSD
2020-07-18,2742,68718,MMSD
2020-07-19,2778,69284,MMSD
2020-07-20,2819,69625,MMSD
2020-07-21,2847,70850,MMSD
2020-07-22,2892,72501,MMSD
2020-07-23,2919,73865,MMSD
2020-07-24,2965,76046,MMSD
2020-07-25,3010,77528,MMSD
2020-07-26,3041,78252,MMSD
2020-07-27,3076,78678,MMSD
2020-07-28,3109,80625,MMSD
2020-07-29,3148,82443,MMSD
2020-07-30,3180,84592,MMSD
2020-07-31,3232,85859,MMSD
2020-08-01,3251,87202,MMSD
2020-08-02,3312,88253,MMSD
2020-08-03,3331,88866,MMSD
2020-08-04,3355,90862,MMSD
2020-08-05,3419,93097,MMSD
2020-08-06,3455,94718,MMSD
2020-08-07,3508,95880,MMSD
2020-08-08,3545,96700,MMSD
2020-08-09,3578,97547,MMSD
2020-08-10,3588,98885,MMSD
2020-08-11,3610,100170,MMSD
2020-08-12,3650,101287,MMSD
2020-08-13,3675,102583,MMSD
2020-08-14,3731,103074,MMSD
2020-08-15,3760,103910,MMSD
2020-08-16,3802,104135,MMSD
2020-08-17,3816,104776,MMSD
2020-08-18,3828,105941,MMSD
2020-08-19,3849,107282,MMSD
2020-08-20,3872,108148,MMSD
2020-08-21,3901,108883,MMSD
2020-08-22,3941,109361,MMSD
