"","Date","Plant","Filter","Well","Type","name","value"
"1","2021-01-25","Hudson",1,1,"Normal","N1GC",18502.6143196742
"2","2021-01-25","Hudson",1,1,"Normal","N2GC",20877.2885135891
"3","2021-01-25","Hudson",1,1,"Normal","PMMOVGC",9665750.14850966
"4","2021-01-25","Hudson",1,2,"Normal","N1GC",48858.2690651512
"5","2021-01-25","Hudson",1,2,"Normal","N2GC",37846.8169249019
"6","2021-01-25","Hudson",1,2,"Normal","PMMOVGC",11060656.1669544
"7","2021-01-25","Hudson",1,3,"Normal","N1GC",23688.3354531068
"8","2021-01-25","Hudson",1,3,"Normal","N2GC",29603.1141962556
"9","2021-01-25","Hudson",1,3,"Normal","PMMOVGC",8817662.15663495
"10","2021-01-25","Hudson",2,1,"Normal","N1GC",38784.320529675
"11","2021-01-25","Hudson",2,1,"Normal","N2GC",60644.8327052319
"12","2021-01-25","Hudson",2,1,"Normal","PMMOVGC",7869632.68629127
"13","2021-01-25","Hudson",2,2,"Normal","N1GC",47193.6405121051
"14","2021-01-25","Hudson",2,2,"Normal","N2GC",60087.0262932267
"15","2021-01-25","Hudson",2,2,"Normal","PMMOVGC",8455483.78351183
"16","2021-01-25","Hudson",2,3,"Normal","N1GC",27743.7617565456
"17","2021-01-25","Hudson",2,3,"Normal","N2GC",34902.1102297736
"18","2021-01-25","Hudson",2,3,"Normal","PMMOVGC",8731147.34774317
"19","2021-01-25","Hudson",3,1,"Normal","N1GC",34317.433940797
"20","2021-01-25","Hudson",3,1,"Normal","N2GC",50635.9050811945
"21","2021-01-25","Hudson",3,1,"Normal","PMMOVGC",8076930.40429674
"22","2021-01-25","Hudson",3,2,"Normal","N1GC",29593.5513557196
"23","2021-01-25","Hudson",3,2,"Normal","N2GC",34549.1916646984
"24","2021-01-25","Hudson",3,2,"Normal","PMMOVGC",9513162.04529279
"25","2021-01-25","Hudson",3,3,"Normal","N1GC",25702.3927091308
"26","2021-01-25","Hudson",3,3,"Normal","N2GC",49053.7554857823
"27","2021-01-25","Hudson",3,3,"Normal","PMMOVGC",8041246.36492559
"28","2021-01-26","Hudson",1,1,"Normal","N1GC",9905.55787032735
"29","2021-01-26","Hudson",1,1,"Normal","N2GC",19761.5516509693
"30","2021-01-26","Hudson",1,1,"Normal","PMMOVGC",6647884.30319911
"31","2021-01-26","Hudson",1,2,"Normal","N1GC",15980.5633672414
"32","2021-01-26","Hudson",1,2,"Normal","N2GC",52504.8600158045
"33","2021-01-26","Hudson",1,2,"Normal","PMMOVGC",9381294.69396061
"34","2021-01-26","Hudson",1,3,"Normal","N1GC",10011.4873711916
"35","2021-01-26","Hudson",1,3,"Normal","N2GC",34413.5126731349
"36","2021-01-26","Hudson",1,3,"Normal","PMMOVGC",11391819.2824566
"37","2021-01-26","Hudson",2,1,"Normal","N1GC",14168.4395860466
"38","2021-01-26","Hudson",2,1,"Normal","N2GC",27481.9929294449
"39","2021-01-26","Hudson",2,1,"Normal","PMMOVGC",7374517.06003249
