"","Date","Site","ErrorLevel","N1RankLeft","N1RankRight","N2RankLeft","N2RankRight","N1","N2","Rank"
"1",2021-11-15,"MMSD-P18","1",5,11,8,12,909463,899487,12
"2",2021-06-14,"MMSD-P7","1",9,11,12,13,237837,183046,13
"3",2022-01-03,"MMSD-P18","1",1,13,1,7,3247531,4063992,13
"4",2021-07-22,"MMSD-P18","1",7,8,12,14,578837,426064,14
"5",2021-03-29,"MMSD-P18","1",11,9,15,15,536692,478789,15
"6",2021-09-06,"MMSD-P8","1",12,7,16,12,313893,269695,16
"7",2021-11-04,"MMSD-P2","1",16,14,9,12,371357,476660,16
"8",2021-01-11,"MMSD-P2","1",10,13,13,17,216079,249714,17
"9",2021-07-29,"MMSD-P8","1",9,8,13,17,229833,188581,17
"10",2021-09-16,"MMSD-P11","1",16,16,13,17,295856,245147,17
"11",2021-02-01,"MMSD-P8","1",14,10,18,14,201531,164152,18
"12",2021-05-10,"MMSD-P11","1",18,17,14,14,170237,150858,18
"13",2021-10-18,"MMSD-P7","1",13,12,18,17,337918,220443,18
"14",2021-11-22,"MMSD-P8","1",7,11,15,18,521918,432589,18
"15",2021-03-04,"MMSD-P2","1",8,8,18,19,315618,193299,19
"16",2021-04-05,"MMSD-P18","1",13,19,14,17,346465,395816,19
"17",2021-09-09,"MMSD-P11","1",19,13,18,11,379248,316124,19
"18",2021-09-09,"MMSD-P2","1",20,9,21,15,326679,329616,21
"19",2021-11-25,"MMSD-P11","1",12,12,22,19,820850,660455,22
"20",2022-01-03,"MMSD-P8","1",2,22,4,16,1326760,1445857,22
"21",2021-01-18,"MMSD-P7","1",24,20,21,20,160990,168312,24
"22",2021-03-11,"MMSD-P2","1",19,10,24,16,213045,179284,24
"23",2021-05-03,"MMSD-P11","1",24,23,17,12,141403,175655,24
"24",2021-08-16,"MMSD-P7","1",10,15,14,25,331327,235979,25
"25",2021-10-11,"MMSD-P7","1",26,16,23,14,302216,289560,26
"26",2021-11-18,"MMSD-P7","2",1,1,1,1,6737773,6994002,1
"27",2022-01-06,"MMSD-P2","2",1,1,2,1,3507968,4583518,2
"28",2021-04-26,"MMSD-P18","2",3,3,2,3,1761146,2270206,3
"29",2021-05-20,"MMSD-P18","2",2,1,3,2,1945496,2297335,3
"30",2021-11-15,"MMSD-P8","2",3,2,3,2,860526,850735,3
"31",2021-01-28,"MMSD-P11","2",2,2,4,3,1107390,1098130,4
"32",2021-12-16,"MMSD-P2","2",2,4,3,3,1593838,1597008,4
"33",2021-12-16,"MMSD-P11","2",4,4,3,4,1184423,1255751,4
"34",2022-01-06,"MMSD-P7","2",2,2,4,3,3705908,3879368,4
"35",2022-01-13,"MMSD-P2","2",3,2,4,2,2261847,3026395,4
"36",2021-12-06,"MMSD-P18","2",4,4,4,5,1760531,1776716,5
"37",2021-05-20,"MMSD-P2","2",6,5,6,4,608010,676281,6
"38",2021-12-02,"MMSD-P8","2",4,3,6,4,683746,834224,6
"39",2021-12-16,"MMSD-P7","2",4,5,6,4,993857,1181154,6
"40",2022-01-20,"MMSD-P18","2",6,5,6,4,1064517,1565949,6
"41",2021-01-18,"MMSD-P2","2",5,3,7,5,799894,646408,7
"42",2021-06-07,"MMSD-P11","2",5,8,5,5,439420,591505,8
"43",2021-09-13,"MMSD-P7","2",6,7,7,8,596855,570164,8
"44",2022-01-20,"MMSD-P7","2",8,3,3,2,1131461,2568993,8
"45",2021-05-27,"MMSD-P18","2",8,7,9,8,637101,676035,9
"46",2021-09-30,"MMSD-P11","2",7,9,8,7,494627,492228,9
"47",2021-11-29,"MMSD-P18","2",9,6,7,6,1154247,1369457,9
"48",2021-12-09,"MMSD-P8","2",6,5,9,8,657814,692111,9
"49",2022-01-20,"MMSD-P11","2",9,7,6,2,729309,1366615,9
"50",2021-11-04,"MMSD-P11","2",6,10,7,9,591985,596739,10
"51",2021-12-16,"MMSD-P8","2",10,4,8,3,635295,824679,10
"52",2021-04-19,"MMSD-P8","2",11,6,10,7,246023,271594,11
"53",2021-12-02,"MMSD-P7","2",12,6,10,7,1224699,1346764,12
"54",2021-04-26,"MMSD-P8","2",13,12,14,10,181856,194280,14
"55",2021-06-10,"MMSD-P2","2",14,11,14,13,185594,242619,14
