"","Date","Site","N1RankLeft","N1RankRight","N2RankLeft","N2RankRight","N1","N2","MaxN1Rank"
"1",2020-09-28,"MMSD-P2",85,80,85,80,0,0,-85
"2",2021-01-11,"MMSD-P2",5,9,5,9,216079,249714,-9
"3",2021-01-11,"MMSD-P7",83,16,83,8,122744,195988,-83
"4",2021-01-11,"MMSD-P8",84,9,84,6,152907,194029,-84
"5",2021-01-11,"MMSD-P11",84,59,84,57,112506,141198,-84
"6",2021-01-11,"MMSD-P18",82,61,82,61,295775,356586,-82
"7",2021-01-14,"MMSD-P2",76,84,76,83,65258,106756,-84
"8",2021-01-14,"MMSD-P7",67,70,75,73,73171,83681,-75
"9",2021-01-14,"MMSD-P8",75,55,78,47,63316,76870,-78
"10",2021-01-14,"MMSD-P11",25,16,27,10,147601,158432,-27
"11",2021-01-14,"MMSD-P18",21,20,21,10,403960,447737,-21
"12",2021-01-18,"MMSD-P2",1,1,2,2,799894,646408,-2
"13",2021-01-18,"MMSD-P7",13,12,10,10,160990,168312,-13
"14",2021-01-18,"MMSD-P8",29,54,37,68,82245,79657,-68
"15",2021-01-18,"MMSD-P11",68,53,74,60,81479,73770,-74
"16",2021-01-18,"MMSD-P18",62,66,72,70,295828,228049,-72
"17",2021-01-21,"MMSD-P2",84,24,83,29,94764,121657,-84
"18",2021-01-21,"MMSD-P7",71,24,73,61,86109,68929,-73
"19",2021-01-21,"MMSD-P8",30,16,16,43,101053,110473,-43
"20",2021-01-21,"MMSD-P11",31,79,24,80,99618,94883,-80
"21",2021-01-21,"MMSD-P18",16,19,12,51,422985,378298,-51
"22",2021-01-25,"MMSD-P2",61,57,56,53,62166,94675,-61
"23",2021-01-25,"MMSD-P7",59,65,22,45,64345,107125,-65
"24",2021-01-25,"MMSD-P8",68,44,41,12,66705,110510,-68
"25",2021-01-25,"MMSD-P11",5,83,4,83,280459,354015,-83
"26",2021-01-25,"MMSD-P18",63,32,31,12,310278,447153,-63
"27",2021-01-28,"MMSD-P2",28,70,32,43,94430,110851,-70
"28",2021-01-28,"MMSD-P7",18,19,38,13,126682,108839,-38
"29",2021-01-28,"MMSD-P8",40,79,72,78,70898,62327,-79
"30",2021-01-28,"MMSD-P11",1,1,1,1,1107390,1098130,-1
"31",2021-01-28,"MMSD-P18",50,67,70,63,271733,239687,-70
"32",2021-02-01,"MMSD-P2",15,65,42,62,166056,112517,-65
"33",2021-02-01,"MMSD-P7",64,22,70,47,88931,27727,-70
"34",2021-02-01,"MMSD-P8",5,5,6,7,201531,164152,-7
"35",2021-02-01,"MMSD-P11",83,57,83,76,216130,188216,-83
"36",2021-02-01,"MMSD-P18",15,13,19,20,399598,341691,-20
"37",2021-02-04,"MMSD-P2",20,71,23,73,225892,162506,-73
"38",2021-02-04,"MMSD-P7",61,67,36,65,62329,37362,-67
"39",2021-02-04,"MMSD-P8",79,76,77,74,43975,49662,-79
"40",2021-02-04,"MMSD-P11",27,64,8,6,238730,312646,-64
"41",2021-02-04,"MMSD-P18",69,63,62,65,252349,195796,-69
"42",2021-02-08,"MMSD-P2",14,58,12,27,306786,284423,-58
"43",2021-02-08,"MMSD-P7",16,72,18,67,130614,88419,-72
"44",2021-02-08,"MMSD-P8",8,23,10,59,140834,101240,-59
"45",2021-02-08,"MMSD-P11",20,12,78,25,302346,167233,-78
"46",2021-02-08,"MMSD-P18",19,8,17,14,374437,303109,-19
"47",2021-02-11,"MMSD-P2",27,11,58,16,340779,252049,-58
"48",2021-02-11,"MMSD-P7",11,10,16,11,226876,140429,-16
"49",2021-02-11,"MMSD-P8",61,45,25,16,117618,115617,-61
"50",2021-02-11,"MMSD-P11",72,60,59,39,183774,143625,-72
"51",2021-02-11,"MMSD-P18",74,57,68,57,130403,114390,-74
"52",2021-02-15,"MMSD-P2",74,76,69,64,225421,168360,-76
"53",2021-02-15,"MMSD-P7",73,21,72,29,88924,47089,-73
"54",2021-02-15,"MMSD-P8",39,38,68,15,121881,83906,-68
"55",2021-02-15,"MMSD-P11",24,9,45,13,221478,138907,-45
"56",2021-02-15,"MMSD-P18",25,58,25,41,206296,196634,-58
"57",2021-02-18,"MMSD-P18",24,11,41,22,283994,221474,-41
"58",2021-02-18,"MMSD-P11",75,27,71,27,77580,69169,-75
"59",2021-02-18,"MMSD-P8",46,8,69,14,120856,51127,-69
"60",2021-02-18,"MMSD-P7",62,75,54,76,56207,28465,-76
"61",2021-02-18,"MMSD-P2",9,17,21,52,361687,223018,-52
"62",2021-02-22,"MMSD-P2",68,19,33,10,305797,238347,-68
"63",2021-02-22,"MMSD-P7",8,66,7,64,172940,130516,-66
"64",2021-02-22,"MMSD-P8",76,68,70,50,25781,16783,-76
"65",2021-02-22,"MMSD-P11",57,51,57,44,58771,46159,-57
"66",2021-02-22,"MMSD-P18",71,72,60,66,110277,111300,-72
"67",2021-02-25,"MMSD-P2",66,4,75,13,253231,115657,-75
"68",2021-02-25,"MMSD-P7",17,6,19,6,239308,179911,-19
"69",2021-02-25,"MMSD-P8",16,26,34,25,69401,23768,-34
"70",2021-02-25,"MMSD-P11",33,20,40,29,73322,43818,-40
"71",2021-02-25,"MMSD-P18",10,77,16,77,287481,220167,-77
"72",2021-03-01,"MMSD-P2",81,82,72,77,33495,17504,-82
"73",2021-03-01,"MMSD-P7",77,26,77,25,54535,37502,-77
"74",2021-03-01,"MMSD-P8",58,31,59,65,53391,11361,-65
"75",2021-03-01,"MMSD-P11",64,71,55,69,23426,21795,-71
"76",2021-03-01,"MMSD-P18",5,7,5,16,618917,563350,-16
"77",2021-03-04,"MMSD-P18",75,18,66,8,276780,397412,-75
"78",2021-03-04,"MMSD-P7",57,48,58,39,36807,5188,-58
"79",2021-03-04,"MMSD-P2",3,5,8,11,315618,193299,-11
"80",2021-03-04,"MMSD-P8",53,71,19,27,44894,40565,-71
"81",2021-03-04,"MMSD-P11",13,14,15,11,124242,93449,-15
"82",2021-03-08,"MMSD-P2",80,74,74,71,96825,73766,-80
"83",2021-03-08,"MMSD-P7",35,33,44,44,40062,4104,-44
"84",2021-03-08,"MMSD-P8",13,10,57,52,98550,29216,-57
"85",2021-03-08,"MMSD-P11",70,42,73,35,25955,21489,-73
"86",2021-03-08,"MMSD-P18",64,40,74,49,159263,109232,-74
"87",2021-03-11,"MMSD-P2",11,7,14,8,213045,179284,-14
