"","Date","Site","N1RankLeft","N1RankRight","N2RankLeft","N2RankRight","N1","N2","MaxN1Rank"
"1",2020-09-28,"MMSD-P2",108,98,108,95,0,0,-108
"2",2021-01-11,"MMSD-P2",10,13,13,17,216079,249714,-17
"3",2021-01-11,"MMSD-P7",106,25,106,18,122744,195988,-106
"4",2021-01-11,"MMSD-P8",107,16,107,13,152907,194029,-107
"5",2021-01-11,"MMSD-P11",105,70,105,67,112506,141198,-105
"6",2021-01-11,"MMSD-P18",105,76,105,75,295775,356586,-105
"7",2021-01-14,"MMSD-P2",95,103,91,101,65258,106756,-103
"8",2021-01-14,"MMSD-P7",81,82,88,85,73171,83681,-88
"9",2021-01-14,"MMSD-P8",91,67,94,58,63316,76870,-94
"10",2021-01-14,"MMSD-P11",35,26,38,18,147601,158432,-38
"11",2021-01-14,"MMSD-P18",29,29,30,18,403960,447737,-30
"12",2021-01-18,"MMSD-P2",5,3,7,5,799894,646408,-7
"13",2021-01-18,"MMSD-P7",24,20,21,20,160990,168312,-24
"14",2021-01-18,"MMSD-P8",40,66,49,79,82245,79657,-79
"15",2021-01-18,"MMSD-P11",79,64,87,70,81479,73770,-87
"16",2021-01-18,"MMSD-P18",76,81,87,85,295828,228049,-87
"17",2021-01-21,"MMSD-P2",105,33,103,39,94764,121657,-105
"18",2021-01-21,"MMSD-P7",86,33,86,71,86109,68929,-86
"19",2021-01-21,"MMSD-P8",41,27,28,54,101053,110473,-54
"20",2021-01-21,"MMSD-P11",41,91,35,96,99618,94883,-96
"21",2021-01-21,"MMSD-P18",24,28,20,65,422985,378298,-65
"22",2021-01-25,"MMSD-P2",75,69,69,63,62166,94675,-75
"23",2021-01-25,"MMSD-P7",73,77,35,55,64345,107125,-77
"24",2021-01-25,"MMSD-P8",80,56,53,23,66705,110510,-80
"25",2021-01-25,"MMSD-P11",14,103,9,101,280459,354015,-103
"26",2021-01-25,"MMSD-P18",77,42,40,20,310278,447153,-77
"27",2021-01-28,"MMSD-P2",39,83,45,53,94430,110851,-83
"28",2021-01-28,"MMSD-P7",29,28,51,23,126682,108839,-51
"29",2021-01-28,"MMSD-P8",51,93,84,89,70898,62327,-93
"30",2021-01-28,"MMSD-P11",2,2,4,3,1107390,1098130,-4
"31",2021-01-28,"MMSD-P18",63,82,85,77,271733,239687,-85
"32",2021-02-01,"MMSD-P2",25,78,55,73,166056,112517,-78
"33",2021-02-01,"MMSD-P7",78,31,83,57,88931,27727,-83
"34",2021-02-01,"MMSD-P8",14,10,18,14,201531,164152,-18
"35",2021-02-01,"MMSD-P11",103,68,102,90,216130,188216,-103
"36",2021-02-01,"MMSD-P18",23,22,28,28,399598,341691,-28
"37",2021-02-04,"MMSD-P2",30,85,35,86,225892,162506,-86
"38",2021-02-04,"MMSD-P7",75,79,49,75,62329,37362,-79
"39",2021-02-04,"MMSD-P8",97,89,93,85,43975,49662,-97
"40",2021-02-04,"MMSD-P11",37,75,15,13,238730,312646,-75
"41",2021-02-04,"MMSD-P18",83,78,77,79,252349,195796,-83
"42",2021-02-08,"MMSD-P2",23,70,22,37,306786,284423,-70
"43",2021-02-08,"MMSD-P7",27,84,31,77,130614,88419,-84
"44",2021-02-08,"MMSD-P8",18,34,22,70,140834,101240,-70
"45",2021-02-08,"MMSD-P11",30,22,92,35,302346,167233,-92
"46",2021-02-08,"MMSD-P18",27,17,26,22,374437,303109,-27
"47",2021-02-11,"MMSD-P2",38,18,71,24,340779,252049,-71
"48",2021-02-11,"MMSD-P7",22,18,29,21,226876,140429,-29
"49",2021-02-11,"MMSD-P8",73,57,37,27,117618,115617,-73
"50",2021-02-11,"MMSD-P11",83,71,70,49,183774,143625,-83
"51",2021-02-11,"MMSD-P18",88,72,83,71,130403,114390,-88
"52",2021-02-15,"MMSD-P2",90,91,84,75,225421,168360,-91
"53",2021-02-15,"MMSD-P7",88,30,85,39,88924,47089,-88
"54",2021-02-15,"MMSD-P8",50,50,80,26,121881,83906,-80
"55",2021-02-15,"MMSD-P11",34,19,56,22,221478,138907,-56
"56",2021-02-15,"MMSD-P18",33,73,34,51,206296,196634,-73
"57",2021-02-18,"MMSD-P18",32,20,54,30,283994,221474,-54
"58",2021-02-18,"MMSD-P11",86,38,83,37,77580,69169,-86
"59",2021-02-18,"MMSD-P8",57,15,81,25,120856,51127,-81
"60",2021-02-18,"MMSD-P7",76,87,67,89,56207,28465,-89
"61",2021-02-18,"MMSD-P2",17,26,33,62,361687,223018,-62
"62",2021-02-22,"MMSD-P2",82,28,46,18,305797,238347,-82
"63",2021-02-22,"MMSD-P7",19,78,17,74,172940,130516,-78
"64",2021-02-22,"MMSD-P8",92,80,82,61,25781,16783,-92
"65",2021-02-22,"MMSD-P11",67,62,68,54,58771,46159,-68
"66",2021-02-22,"MMSD-P18",85,88,75,80,110277,111300,-88
"67",2021-02-25,"MMSD-P2",80,7,90,21,253231,115657,-90
"68",2021-02-25,"MMSD-P7",28,14,32,15,239308,179911,-32
"69",2021-02-25,"MMSD-P8",27,37,46,36,69401,23768,-46
"70",2021-02-25,"MMSD-P11",43,30,51,39,73322,43818,-51
"71",2021-02-25,"MMSD-P18",17,95,25,94,287481,220167,-95
"72",2021-03-01,"MMSD-P2",101,100,87,90,33495,17504,-101
"73",2021-03-01,"MMSD-P7",92,35,91,35,54535,37502,-92
"74",2021-03-01,"MMSD-P8",70,42,71,76,53391,11361,-76
"75",2021-03-01,"MMSD-P11",75,82,66,79,23426,21795,-82
