"","Date", "Site", "N1RankLeft", "N1RankRight", "N2RankLeft", "N2RankRight", "N1", "N2", "MaxN1Rank"
"1",2020-09-28,"MMSD-P2",531,474,531,485,0,0,-531
"2",2021-01-11,"MMSD-P2",57,123,46,157,216079,249714,-157
"3",2021-01-11,"MMSD-P7",408,341,374,248.5,122744,195988,-408
"4",2021-01-11,"MMSD-P8",190,171,282.5,159,152907,194029,-282.5
"5",2021-01-11,"MMSD-P11",360,460,372,478,112506,141198,-478
"6",2021-01-11,"MMSD-P18",71,56,53,55,295775,356586,-71
"7",2021-01-14,"MMSD-P2",475,293,476,204,65258,106756,-476
"8",2021-01-14,"MMSD-P7",238,235,327,236,73171,83681,-327
"9",2021-01-14,"MMSD-P8",296,403,295,408,63316,76870,-408
"10",2021-01-14,"MMSD-P11",128,487,123,492,147601,158432,-492
"11",2021-01-14,"MMSD-P18",44,502,39,471,403960,447737,-502
"12",2021-01-18,"MMSD-P2",29,14,60,27,799894,646408,-60
"13",2021-01-18,"MMSD-P7",517,132,504,128,160990,168312,-517
"14",2021-01-18,"MMSD-P8",399,265,403,239,82245,79657,-403
"15",2021-01-18,"MMSD-P11",266,472,292,452,81479,73770,-472
"16",2021-01-18,"MMSD-P18",59,64,79,110,295828,228049,-110
"17",2021-01-21,"MMSD-P2",467,236,421,160,94764,121657,-467
"18",2021-01-21,"MMSD-P7",295,310,371,357,86109,68929,-371
"19",2021-01-21,"MMSD-P8",221,259,174,217,101053,110473,-259
"20",2021-01-21,"MMSD-P11",272,496,314,489,99618,94883,-496
"21",2021-01-21,"MMSD-P18",35,35,42,48,422985,378298,-48
"22",2021-01-25,"MMSD-P2",496,274,483,299,62166,94675,-496
"23",2021-01-25,"MMSD-P7",257,275,232,272,64345,107125,-275
"24",2021-01-25,"MMSD-P8",256,469,259,482,66705,110510,-482
"25",2021-01-25,"MMSD-P11",62,339,49,420,280459,354015,-420
"26",2021-01-25,"MMSD-P18",192,60,111,42,310278,447153,-192
"27",2021-01-28,"MMSD-P2",471,344,489,247,94430,110851,-489
"28",2021-01-28,"MMSD-P7",187,154,284,171,126682,108839,-284
"29",2021-01-28,"MMSD-P8",377,522,360,518,70898,62327,-522
"30",2021-01-28,"MMSD-P11",9,8,13,11,1107390,1098130,-13
"31",2021-01-28,"MMSD-P18",523,113,520,95,271733,239687,-523
"32",2021-02-01,"MMSD-P2",418,133,436,130,166056,112517,-436
"33",2021-02-01,"MMSD-P7",398,422,401,439,88931,27727,-439
"34",2021-02-01,"MMSD-P8",109,308,92,320,201531,164152,-320
"35",2021-02-01,"MMSD-P11",223,461,211,451,216130,188216,-461
"36",2021-02-01,"MMSD-P18",70,76,80,70,399598,341691,-80
"37",2021-02-04,"MMSD-P2",455,83,461,96,225892,162506,-461
"38",2021-02-04,"MMSD-P7",448,210,435,297,62329,37362,-448
"39",2021-02-04,"MMSD-P8",321,463,234,488,43975,49662,-488
"40",2021-02-04,"MMSD-P11",68,305,43,103,238730,312646,-305
"41",2021-02-04,"MMSD-P18",226,376,428,415,252349,195796,-428
"42",2021-02-08,"MMSD-P2",155,74,116,66,306786,284423,-155
"43",2021-02-08,"MMSD-P7",457,297,465,300,130614,88419,-465
"44",2021-02-08,"MMSD-P8",234,451,231,387,140834,101240,-451
"45",2021-02-08,"MMSD-P11",80,393,144,438,302346,167233,-438
"46",2021-02-08,"MMSD-P18",138,185,93,164,374437,303109,-185
"47",2021-02-11,"MMSD-P2",346,102,367,106,340779,252049,-367
"48",2021-02-11,"MMSD-P7",429,108,425,199,226876,140429,-429
"49",2021-02-11,"MMSD-P8",423,386,332,328,117618,115617,-423
"50",2021-02-11,"MMSD-P11",145,158,203,188,183774,143625,-203
"51",2021-02-11,"MMSD-P18",373,411,343,368,130403,114390,-411
"52",2021-02-15,"MMSD-P2",120,94,163,99,225421,168360,-163
"53",2021-02-15,"MMSD-P7",437,346,432,347,88924,47089,-437
"54",2021-02-15,"MMSD-P8",185,414,184,371,121881,83906,-414
"55",2021-02-15,"MMSD-P11",117,216,160,375,221478,138907,-375
"56",2021-02-15,"MMSD-P18",315,396,156,323,206296,196634,-396
"57",2021-02-18,"MMSD-P18",135,62,208,85,283994,221474,-208
"58",2021-02-18,"MMSD-P11",469,361,446,213,77580,69169,-469
"59",2021-02-18,"MMSD-P8",170,144,318,205,120856,51127,-318
"60",2021-02-18,"MMSD-P7",387,494,326,470,56207,28465,-494
"61",2021-02-18,"MMSD-P2",37,153,61,306,361687,223018,-306
"62",2021-02-22,"MMSD-P2",378,96,225,108,305797,238347,-378
"63",2021-02-22,"MMSD-P7",435,90,423,105,172940,130516,-435
"64",2021-02-22,"MMSD-P8",441,347,426,330,25781,16783,-441
"65",2021-02-22,"MMSD-P11",184,372,201,385,58771,46159,-385
"66",2021-02-22,"MMSD-P18",159,444,146,276,110277,111300,-444
"67",2021-02-25,"MMSD-P2",87,220,255,384,253231,115657,-384
"68",2021-02-25,"MMSD-P7",311,81,147,82,239308,179911,-311
"69",2021-02-25,"MMSD-P8",450,278,449,316,69401,23768,-450
"70",2021-02-25,"MMSD-P11",253,471,215,464,73322,43818,-471
"71",2021-02-25,"MMSD-P18",60,50,67,63,287481,220167,-67
"72",2021-03-01,"MMSD-P2",481,321,468,314,33495,17504,-481
"73",2021-03-01,"MMSD-P7",210,261,217,196,54535,37502,-261
"74",2021-03-01,"MMSD-P8",270,190,335,291,53391,11361,-335
"75",2021-03-01,"MMSD-P11",341,515,240,508,23426,21795,-515
"76",2021-03-01,"MMSD-P18",16,38,23,75,618917,563350,-75
"77",2021-03-04,"MMSD-P18",493,54,456,36,276780,397412,-493
"78",2021-03-04,"MMSD-P7",477,492,495,468,36807,5188,-495
"79",2021-03-04,"MMSD-P2",39,45,63,84,315618,193299,-84
"80",2021-03-04,"MMSD-P8",486,398,447,367,44894,40565,-486
"81",2021-03-04,"MMSD-P11",133,197,164,209,124242,93449,-209
"82",2021-03-08,"MMSD-P2",334,150,322,148,96825,73766,-334
"83",2021-03-08,"MMSD-P7",381,380,383,325,40062,4104,-383
"84",2021-03-08,"MMSD-P8",151,140,206,233,98550,29216,-233
"85",2021-03-08,"MMSD-P11",391,438,298,412,25955,21489,-438
"86",2021-03-08,"MMSD-P18",93,374,119,394,159263,109232,-394
