"","Date","Site","N1RankLeft","N1RankRight","N2RankLeft","N2RankRight"
"1",2020-09-15,"Madison",391,276,393,252
"2",2020-09-19,"Madison",115,141,141,195
"3",2020-09-22,"Madison",250,215,198,194
"4",2020-09-23,"Madison",176,228,199,202
"5",2020-09-24,"Madison",163,170,191,205
"6",2020-09-25,"Madison",221,208,188,188
"7",2020-09-28,"Madison",183,192,205,176
"8",2020-09-28,"MMSD-P2",103,103,96,96
"9",2020-09-29,"Madison",199,212,217,173
"10",2020-10-01,"Madison",179,155,220,167
"11",2020-10-02,"Madison",236,137,226,197
"12",2020-10-05,"Madison",254,156,196,137
"13",2020-10-06,"Madison",235,287,256,287
"14",2020-10-07,"Madison",104,139,106,124
"15",2020-10-08,"Madison",252,238,269,255
"16",2020-10-09,"Madison",153,73,138,185
"17",2020-10-12,"Madison",318,289,208,186
"18",2020-10-13,"Madison",102,286,207,236
"19",2020-10-14,"Madison",105,184,157,163
"20",2020-10-15,"Madison",207,146,230,101
"21",2020-10-16,"Madison",245,124,292,189
"22",2020-10-19,"Madison",267,143,204,180
"23",2020-10-20,"Madison",248,116,213,166
"24",2020-10-21,"Madison",275,157,227,128
"25",2020-10-22,"Madison",234,82,265,62
"26",2020-10-23,"Madison",309,259,331,309
"27",2020-10-26,"Madison",132,338,84,303
"28",2020-10-27,"Madison",53,71,90,221
"29",2020-10-28,"Madison",320,59,172,59
"30",2020-10-29,"Madison",332,333,334,314
"31",2020-10-30,"Madison",58,49,79,48
"32",2020-11-02,"Madison",342,368,345,360
"33",2020-11-03,"Madison",23,19,33,33
"34",2020-11-04,"Madison",372,102,360,132
"35",2020-11-05,"Madison",289,328,261,330
"36",2020-11-09,"Madison",63,254,63,182
"37",2020-11-10,"Madison",137,350,211,323
"38",2020-11-11,"Madison",41,181,70,232
"39",2020-11-12,"Madison",210,190,161,145
"40",2020-11-13,"Madison",201,285,248,106
"41",2020-11-16,"Madison",106,152,287,312
"42",2020-11-17,"Madison",239,47,81,113
"43",2020-11-18,"Madison",344,302,280,164
"44",2020-11-19,"Madison",89,7,229,9
"45",2020-11-20,"Madison",384,380,384,379
"46",2020-11-23,"Madison",11,253,14,325
"47",2020-11-24,"Madison",138,34,68,7
"48",2020-11-25,"Madison",357,349,386,363
"49",2020-11-26,"Madison",42,312,30,355
"50",2020-11-27,"Madison",79,11,38,14
"51",2020-11-30,"Madison",380,377,379,384
"52",2020-12-01,"Madison",14,100,9,306
"53",2020-12-02,"Madison",291,161,87,225
"54",2020-12-03,"Madison",230,324,168,177
"55",2020-12-04,"Madison",67,74,216,31
"56",2020-12-07,"Madison",317,61,362,61
"57",2020-12-08,"Madison",330,274,332,70
"58",2020-12-09,"Madison",117,329,323,350
"59",2020-12-10,"Madison",62,20,43,23
"60",2020-12-11,"Madison",371,374,370,369
"61",2020-12-14,"Madison",17,32,24,57
"62",2020-12-15,"Madison",359,361,336,364
"63",2020-12-16,"Madison",30,283,29,316
"64",2020-12-17,"Madison",108,135,77,67
"65",2020-12-18,"Madison",256,262,326,318
"66",2020-12-21,"Madison",129,240,75,214
"67",2020-12-22,"Madison",151,83,179,105
"68",2020-12-23,"Madison",308,247,288,241
"69",2020-12-24,"Madison",144,67,152,49
"70",2020-12-25,"Madison",324,316,344,299
"71",2020-12-28,"Madison",75,173,94,253
"72",2020-12-29,"Madison",218,323,140,336
"73",2020-12-30,"Madison",68,45,57,53
"74",2020-12-31,"Madison",346,345,340,338
"75",2021-01-01,"Madison",46,110,55,107
"76",2021-01-04,"Madison",281,174,286,153
"77",2021-01-05,"Madison",217,199,240,112
"78",2021-01-06,"Madison",192,94,281,86
"79",2021-01-07,"Madison",297,106,307,152
"80",2021-01-08,"Madison",285,197,241,256
"81",2021-01-11,"Madison",194,62,137,47
"82",2021-01-11,"MMSD-P2",104,90,97,80
"83",2021-01-11,"MMSD-P7",102,78,97,79
"84",2021-01-11,"MMSD-P8",96,80,98,85
"85",2021-01-11,"MMSD-P11",101,35,95,36
"86",2021-01-11,"MMSD-P18",105,29,105,30
"87",2021-01-12,"Madison",329,342,346,356
"88",2021-01-13,"Madison",49,250,37,104
"89",2021-01-14,"Madison",141,33,289,108
"90",2021-01-14,"MMSD-P2",13,5,16,7
"91",2021-01-14,"MMSD-P7",24,23,18,20
"92",2021-01-14,"MMSD-P8",16,39,13,45
"93",2021-01-14,"MMSD-P11",66,75,59,77
"94",2021-01-14,"MMSD-P18",76,76,75,87
"95",2021-01-15,"Madison",358,332,285,305
"96",2021-01-18,"Madison",59,68,88,175
"97",2021-01-18,"MMSD-P2",98,100,89,92
"98",2021-01-18,"MMSD-P7",79,83,77,78
"99",2021-01-18,"MMSD-P8",57,40,53,28
"100",2021-01-18,"MMSD-P11",26,41,18,33
"101",2021-01-18,"MMSD-P18",29,24,18,20
"102",2021-01-19,"Madison",323,279,218,39
"103",2021-01-20,"Madison",112,315,354,339
"104",2021-01-21,"Madison",76,57,54,135
"105",2021-01-21,"MMSD-P2",3,70,4,58
"106",2021-01-21,"MMSD-P7",19,70,19,33
"107",2021-01-21,"MMSD-P8",56,70,70,49
"108",2021-01-21,"MMSD-P11",60,14,62,9
"109",2021-01-21,"MMSD-P18",81,77,85,40
"110",2021-01-22,"Madison",334,339,258,282
"111",2021-01-25,"MMSD-P2",33,37,38,42
"112",2021-01-25,"MMSD-P7",32,28,64,47
"113",2021-01-25,"MMSD-P8",26,47,49,75
"114",2021-01-25,"MMSD-P11",87,2,86,4
"115",2021-01-25,"MMSD-P18",28,63,65,85
"116",2021-01-25,"Madison",52,3,111,3
"117",2021-01-26,"Madison",388,375,390,370
"118",2021-01-27,"Madison",16,385,23,386
"119",2021-01-28,"MMSD-P2",66,23,54,49
"120",2021-01-28,"MMSD-P7",74,75,50,75
"121",2021-01-28,"MMSD-P8",49,14,23,18
"122",2021-01-28,"MMSD-P11",99,99,91,92
"123",2021-01-28,"MMSD-P18",42,23,20,28
"124",2021-01-28,"Madison",6,150,7,265
"125",2021-01-31,"Madison",241,313,128,319
"126",2021-02-01,"Madison",78,203,74,158
"127",2021-02-01,"MMSD-P2",80,28,47,33
"128",2021-02-01,"MMSD-P7",27,72,22,45
"129",2021-02-01,"MMSD-P8",82,86,80,84
"130",2021-02-01,"MMSD-P11",2,37,3,15
"131",2021-02-01,"MMSD-P18",82,83,77,77
"132",2021-02-02,"Madison",188,64,235,97
"133",2021-02-03,"Madison",327,154,296,109
"134",2021-02-04,"Madison",237,310,284,304
"135",2021-02-04,"MMSD-P2",75,21,63,20
"136",2021-02-04,"MMSD-P7",30,26,52,29
"137",2021-02-04,"MMSD-P8",10,18,14,22
"138",2021-02-04,"MMSD-P11",64,30,80,82
"139",2021-02-04,"MMSD-P18",22,27,28,26
"140",2021-02-05,"Madison",81,169,89,201
"141",2021-02-07,"Madison",222,299,192,295
"142",2021-02-08,"Madison",92,56,98,66
"143",2021-02-08,"MMSD-P2",82,36,76,60
"144",2021-02-08,"MMSD-P7",76,21,68,27
"145",2021-02-08,"MMSD-P8",78,65,76,36
"146",2021-02-08,"MMSD-P11",71,79,13,61
"147",2021-02-08,"MMSD-P18",78,88,79,83
"148",2021-02-09,"Madison",335,98,327,77
"149",2021-02-10,"Madison",293,133,316,286
"150",2021-02-11,"Madison",258,353,107,342
"151",2021-02-11,"MMSD-P2",67,85,36,73
"152",2021-02-11,"MMSD-P7",81,85,70,77
"153",2021-02-11,"MMSD-P8",31,46,62,72
"154",2021-02-11,"MMSD-P11",22,34,34,49
"155",2021-02-11,"MMSD-P18",17,33,22,34
"156",2021-02-12,"Madison",38,271,51,238
"157",2021-02-14,"Madison",120,109,155,120
"158",2021-02-15,"Madison",282,241,273,248
"159",2021-02-15,"MMSD-P2",18,15,23,31
"160",2021-02-15,"MMSD-P7",17,73,20,61
"161",2021-02-15,"MMSD-P8",50,50,26,73
"162",2021-02-15,"MMSD-P11",67,82,46,73
"163",2021-02-15,"MMSD-P18",72,32,71,54
"164",2021-02-16,"Madison",150,85,145,116
"165",2021-02-17,"Madison",306,291,277,192
"166",2021-02-18,"Madison",100,30,201,56
"167",2021-02-18,"MMSD-P18",73,85,51,75
"168",2021-02-18,"MMSD-P11",19,63,22,59
"169",2021-02-18,"MMSD-P8",46,81,25,74
"170",2021-02-18,"MMSD-P7",29,18,36,16
"171",2021-02-18,"MMSD-P2",88,77,65,43
"172",2021-02-19,"Madison",361,352,337,335
"173",2021-02-21,"Madison",39,246,58,245
"174",2021-02-22,"Madison",145,185,148,211
"175",2021-02-22,"MMSD-P2",26,75,53,79
"176",2021-02-22,"MMSD-P7",84,27,81,30
"177",2021-02-22,"MMSD-P8",15,27,24,42
"178",2021-02-22,"MMSD-P11",38,42,36,45
"179",2021-02-22,"MMSD-P18",20,17,30,25
"180",2021-02-23,"Madison",206,95,182,82
"181",2021-02-24,"Madison",296,219,311,269
"182",2021-02-25,"Madison",172,214,124,169
"183",2021-02-25,"MMSD-P2",28,96,17,76
"184",2021-02-25,"MMSD-P7",75,88,67,82
"185",2021-02-25,"MMSD-P8",69,62,56,64
