"","Date","Site","N1","N2","Threshold"
"1",2021-01-18,"MMSD-P2",799894,646408,"Strict"
"2",2021-01-28,"MMSD-P11",1107390,1098130,"Strict"
"3",2021-02-01,"MMSD-P8",201531,164152,"Permissive"
"4",2021-03-04,"MMSD-P2",315618,193299,"Permissive"
"5",2021-03-29,"MMSD-P18",536692,478789,"Permissive"
"6",2021-04-05,"MMSD-P18",346465,395816,"Permissive"
"7",2021-04-19,"MMSD-P8",246023,271594,"Strict"
"8",2021-04-26,"MMSD-P18",1761146,2270206,"Strict"
"9",2021-04-26,"MMSD-P8",181856,194280,"Permissive"
"10",2021-05-10,"MMSD-P11",170237,150858,"Permissive"
"11",2021-05-20,"MMSD-P18",1945496,2297335,"Strict"
"12",2021-05-20,"MMSD-P2",608010,676281,"Strict"
"13",2021-05-27,"MMSD-P18",637101,676035,"Strict"
"14",2021-06-07,"MMSD-P11",439420,591505,"Strict"
"15",2021-06-10,"MMSD-P2",185594,242619,"Permissive"
"16",2021-06-14,"MMSD-P7",237837,183046,"Strict"
"17",2021-07-22,"MMSD-P18",578837,426064,"Permissive"
"18",2021-07-29,"MMSD-P8",229833,188581,"Permissive"
"19",2021-09-06,"MMSD-P8",313893,269695,"Permissive"
"20",2021-09-09,"MMSD-P11",379248,316124,"Permissive"
"21",2021-09-09,"MMSD-P2",326679,329616,"Permissive"
"22",2021-09-13,"MMSD-P7",596855,570164,"Strict"
"23",2021-09-16,"MMSD-P11",295856,245147,"Permissive"
"24",2021-09-30,"MMSD-P11",494627,492228,"Strict"
"25",2021-10-18,"MMSD-P7",337918,220443,"Permissive"
