CaseSignal,NSignal,LogModel,hasIntercept,WeekStart,Bin Size,Offset,COR,R2,PVal
BinningThenSLDCases,N1Mean,TRUE,FALSE,Thursday,7,-2,0.329,0.946,2.11e-26
BinningThenSLDCases,N1Mean,TRUE,FALSE,Thursday,7,-1,0.335,0.948,1.13e-26
BinningThenSLDCases,N1Mean,TRUE,FALSE,Thursday,7,0,0.369,0.951,3.69e-27
BinningThenSLDCases,N1Mean,TRUE,FALSE,Thursday,7,1,0.376,0.953,1.94e-27
BinningThenSLDCases,N1Mean,TRUE,FALSE,Thursday,7,2,0.395,0.954,1.24e-27
BinningThenSLDCases,N1Mean,TRUE,FALSE,Thursday,14,-2,0.529,0.957,1.75e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Thursday,14,-1,0.53,0.959,1.31e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Thursday,14,0,0.565,0.962,6.33e-15
BinningThenSLDCases,N1Mean,TRUE,FALSE,Thursday,14,1,0.57,0.962,5.48e-15
BinningThenSLDCases,N1Mean,TRUE,FALSE,Thursday,14,2,0.573,0.963,5.17e-15
BinningThenSLDCases,N1Mean,TRUE,FALSE,Friday,7,-2,0.376,0.948,4.65e-26
BinningThenSLDCases,N1Mean,TRUE,FALSE,Friday,7,-1,0.393,0.95,2.11e-26
BinningThenSLDCases,N1Mean,TRUE,FALSE,Friday,7,0,0.407,0.952,1.01e-26
BinningThenSLDCases,N1Mean,TRUE,FALSE,Friday,7,1,0.43,0.954,5.83e-27
BinningThenSLDCases,N1Mean,TRUE,FALSE,Friday,7,2,0.433,0.954,4.58e-27
BinningThenSLDCases,N1Mean,TRUE,FALSE,Friday,14,-2,0.622,0.959,5.58e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Friday,14,-1,0.628,0.961,3.66e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Friday,14,0,0.639,0.962,3.06e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Friday,14,1,0.644,0.963,2.71e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Friday,14,2,0.648,0.963,2.48e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Saturday,7,-2,0.366,0.949,3.16e-26
BinningThenSLDCases,N1Mean,TRUE,FALSE,Saturday,7,-1,0.378,0.951,1.61e-26
BinningThenSLDCases,N1Mean,TRUE,FALSE,Saturday,7,0,0.402,0.953,9.32e-27
BinningThenSLDCases,N1Mean,TRUE,FALSE,Saturday,7,1,0.406,0.953,6.9e-27
BinningThenSLDCases,N1Mean,TRUE,FALSE,Saturday,7,2,0.413,0.955,3.93e-27
BinningThenSLDCases,N1Mean,TRUE,FALSE,Saturday,14,-2,0.613,0.96,4.78e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Saturday,14,-1,0.621,0.961,4.1e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Saturday,14,0,0.628,0.961,3.62e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Saturday,14,1,0.632,0.962,3.13e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Saturday,14,2,0.636,0.964,2.13e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Sunday,7,-2,0.341,0.95,2.44e-26
BinningThenSLDCases,N1Mean,TRUE,FALSE,Sunday,7,-1,0.362,0.951,1.52e-26
BinningThenSLDCases,N1Mean,TRUE,FALSE,Sunday,7,0,0.368,0.952,1.1e-26
BinningThenSLDCases,N1Mean,TRUE,FALSE,Sunday,7,1,0.375,0.954,6.29e-27
BinningThenSLDCases,N1Mean,TRUE,FALSE,Sunday,7,2,0.38,0.955,3.08e-27
BinningThenSLDCases,N1Mean,TRUE,FALSE,Sunday,14,-2,0.588,0.96,5.43e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Sunday,14,-1,0.593,0.96,4.9e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Sunday,14,0,0.598,0.961,4.23e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Sunday,14,1,0.603,0.962,2.88e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Sunday,14,2,0.606,0.964,1.94e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Monday,7,-2,0.339,0.951,1.94e-26
BinningThenSLDCases,N1Mean,TRUE,FALSE,Monday,7,-1,0.339,0.951,1.53e-26
BinningThenSLDCases,N1Mean,TRUE,FALSE,Monday,7,0,0.351,0.953,8.27e-27
BinningThenSLDCases,N1Mean,TRUE,FALSE,Monday,7,1,0.356,0.955,4.08e-27
BinningThenSLDCases,N1Mean,TRUE,FALSE,Monday,7,2,0.37,0.956,1.94e-27
BinningThenSLDCases,N1Mean,TRUE,FALSE,Monday,14,-2,0.571,0.96,5.5e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Monday,14,-1,0.572,0.96,4.87e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Monday,14,0,0.579,0.962,3.29e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Monday,14,1,0.583,0.963,2.21e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Monday,14,2,0.589,0.965,1.39e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Tuesday,7,-2,0.305,0.95,2.14e-26
BinningThenSLDCases,N1Mean,TRUE,FALSE,Tuesday,7,-1,0.311,0.952,1.28e-26
BinningThenSLDCases,N1Mean,TRUE,FALSE,Tuesday,7,0,0.32,0.954,5.89e-27
BinningThenSLDCases,N1Mean,TRUE,FALSE,Tuesday,7,1,0.335,0.955,2.85e-27
BinningThenSLDCases,N1Mean,TRUE,FALSE,Tuesday,7,2,0.361,0.958,9.43e-28
BinningThenSLDCases,N1Mean,TRUE,FALSE,Tuesday,14,-2,0.539,0.96,5.49e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Tuesday,14,-1,0.542,0.961,3.82e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Tuesday,14,0,0.548,0.963,2.55e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Tuesday,14,1,0.555,0.965,1.63e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Tuesday,14,2,0.558,0.967,8.49e-15
BinningThenSLDCases,N1Mean,TRUE,FALSE,Wednesday,7,-2,0.268,0.951,2e-26
BinningThenSLDCases,N1Mean,TRUE,FALSE,Wednesday,7,-1,0.269,0.952,1.08e-26
BinningThenSLDCases,N1Mean,TRUE,FALSE,Wednesday,7,0,0.29,0.954,4.74e-27
BinningThenSLDCases,N1Mean,TRUE,FALSE,Wednesday,7,1,0.316,0.957,1.63e-27
BinningThenSLDCases,N1Mean,TRUE,FALSE,Wednesday,7,2,0.322,0.959,7.19e-28
BinningThenSLDCases,N1Mean,TRUE,FALSE,Wednesday,14,-2,0.506,0.961,4.3e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Wednesday,14,-1,0.507,0.962,2.97e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Wednesday,14,0,0.516,0.964,1.89e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Wednesday,14,1,0.519,0.966,1.02e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Wednesday,14,2,0.522,0.968,6.98e-15
BinningThenSLDCases,N1Mean,TRUE,FALSE,Thursday,7,-2,0.329,0.946,2.11e-26
BinningThenSLDCases,N1Mean,TRUE,FALSE,Thursday,7,-1,0.335,0.948,1.13e-26
BinningThenSLDCases,N1Mean,TRUE,FALSE,Thursday,7,0,0.369,0.951,3.69e-27
BinningThenSLDCases,N1Mean,TRUE,FALSE,Thursday,7,1,0.376,0.953,1.94e-27
BinningThenSLDCases,N1Mean,TRUE,FALSE,Thursday,7,2,0.395,0.954,1.24e-27
BinningThenSLDCases,N1Mean,TRUE,FALSE,Thursday,14,-2,0.509,0.962,2.92e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Thursday,14,-1,0.513,0.964,1.94e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Thursday,14,0,0.518,0.966,1.03e-14
BinningThenSLDCases,N1Mean,TRUE,FALSE,Thursday,14,1,0.521,0.968,7.16e-15
BinningThenSLDCases,N1Mean,TRUE,FALSE,Thursday,14,2,0.53,0.969,5.42e-15
BinningThenSLDCases,N1Mean,FALSE,TRUE,Thursday,7,-2,0.329,0.108,0.0382
BinningThenSLDCases,N1Mean,FALSE,TRUE,Thursday,7,-1,0.335,0.112,0.0344
BinningThenSLDCases,N1Mean,FALSE,TRUE,Thursday,7,0,0.369,0.136,0.0192
BinningThenSLDCases,N1Mean,FALSE,TRUE,Thursday,7,1,0.376,0.142,0.0167
