"Site","Date","sample_id","FlowRate","cov2_conc","BCoV","capacity_mgd","conductivity","do","equiv_sewage_amt","n1_lod","n1_loq","N1","N1Error","n1_sars_cov2_lod","n2_lod","n2_loq","N2","N2Error","n2_sars_cov2_lod","ph","PMMoV","Pop","temperature","tss","wwtp_comments","zipcode","analytical_comments","AVG","wt"
"Washburn",2021-01-25,544867001,0.149,23190,8.01,0.36,880,NA,1,40000,130000,15421,3431,NA,66000,140000,30958,6078,"Yes",7.7,14401613,2200,10.8,NA,NA,"54891",NA,21849.5610482225,2
"Peshtigo",2021-01-25,544887001,0.444,29510,11.17,4.2,887,3.8,1,40000,130000,23272,2708,NA,66000,140000,35748,1725,"Yes",7.6,4397675,4000,11.7,NA,NA,"54157",NA,28843.1526709547,2
"MMSD-P2",2021-01-25,544998001,5.74,78421,11.38,56,1448,NA,1,40000,130000,62166,7240,NA,66000,140000,94675,4551,"No",7.5,35099462,380000,NA,NA,NA,"53713",NA,76717.4429318392,2
"MMSD-P7",2021-01-25,545001001,4.35,85735,10.95,56,1437,NA,1,40000,130000,64345,8567,NA,66000,140000,107125,13141,"No",8,22900169,380000,NA,NA,NA,"53713",NA,83023.8407025356,2
"MMSD-P8",2021-01-25,545002001,6.06,88608,11.63,56,1619,NA,1,40000,130000,66705,5596,NA,66000,140000,110510,5345,"No",7.5,22716404,380000,NA,NA,NA,"53713",NA,85857.8450113908,2
"MMSD-P11",2021-01-25,545010001,9.31,317237,8.99,56,1536,NA,1,40000,130000,280459,6836,NA,66000,140000,354015,21647,"No",7.5,31434596,380000,NA,NA,NA,"53713",NA,315097.909997829,2
"MMSD-P18",2021-01-25,545011001,11.82,378716,10.37,56,1690,NA,1,40000,130000,310278,10966,NA,66000,140000,447153,20494,"No",7.5,29445680,380000,NA,NA,NA,"53713",NA,372480.521012844,2
"Madison",2021-01-25,545013001,37.28,184084,11.44,56,1850,NA,1,40000,130000,135003,5598,NA,66000,140000,233165,34045,"No",7.87,31732106,380000,NA,NA,NA,"53713",NA,177420.332811659,2
"Platteville",2021-01-25,545237001,0.944,45402,7.48,3,1445,3.72,1,40000,130000,49536,5613,NA,66000,140000,41267,7153,"Yes",7.8,34458364,14000,13.96,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53818",NA,45212.8533936977,2
"Hudson",2021-01-25,545239001,1.389,97589,3.182,2.2,1272,10.48,1,40000,130000,117764,11804,NA,66000,140000,77413,7987,"No",7.6,7426745,19680,12.5,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54016",NA,95480.1787388356,2
"Kenosha",2021-01-25,545243001,19.46,212506,12.472,28,1159,NA,1,40000,130000,263995,40981,NA,66000,140000,161017,23590,"No",7.6,10986751,122000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53143",NA,206173.914244746,2
"Plymouth",2021-01-25,545244001,1.44,70422,0.551,1.8,1371,NA,1,40000,130000,104627,6603,NA,66000,140000,36216,2726,"Yes",8.1,3771567,9000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53073",NA,61556.2460843739,2
"River Falls",2021-01-25,545260001,1.279,334346,2.79,1.8,890,5.07,1,40000,130000,441809,19230,NA,66000,140000,226884,15512,"No",7.23,9386443,16000,7.5,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54022",NA,316606.053568153,2
"Merrill",2021-01-25,545261001,1.013,110468,4.275,3.06,895,NA,1,40000,130000,98927,10559,NA,66000,140000,122008,11693,"No",7.47,17546234,10000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54452",NA,109863.030251309,2
"Wausau",2021-01-25,545263001,3.53,133107,0.81,8.2,1196,NA,1,40000,130000,180718,34104,NA,66000,140000,85496,15279,"No",7.5,13374808,42000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54401",NA,124300.708477466,2
"Sun Prairie",2021-01-25,545264001,3.427,59502,1.17,6.2,1524,NA,1,40000,130000,79195,6901,NA,66000,140000,39809,3202,"Yes",7.4,12814833,34926,12.4,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53590",NA,56148.6754518751,2
"Spring UW-LakeShore",2021-01-26,544972001,NA,210075,3.33,NA,1182,NA,0.625,64000,2e+05,206826,33074,NA,1e+05,220000,213324,31029,"No",6.75,132134302,NA,NA,1370,NA,NA,NA,210049.874134692,2
"Spring UW-Sellery",2021-01-26,544974001,NA,33134,4.22,NA,825,NA,1,40000,130000,17888,6663,NA,66000,140000,48380,12628,"Yes",7.25,24387835,NA,NA,294,NA,NA,NA,29418.0461621774,2
"Madison",2021-01-26,545014001,37.74,1759233,6.93,56,1544,NA,1,40000,130000,1831813,71019,NA,66000,140000,1686654,109236,"No",7.82,29748189,380000,NA,NA,NA,"53713",NA,1757735.68084112,2
"Algoma",2021-01-26,545035001,0.65,108705,3.94,1,1210,11.33,1,40000,130000,130851,10282,NA,66000,140000,86559,8598,"No",8.1,3352239,3171,7.6,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54201",NA,106425.239999729,2
"Appleton",2021-01-26,545036001,8.6,148281,1.49,15.5,1136,NA,1,40000,130000,201889,28796,NA,66000,140000,94674,22772,"No",8,20737797,74832,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54914",NA,138252.085647921,2
