"Site","Date","sample_id","FlowRate","Cov1_below_lod","cov2_conc","BCoV","BCoVConc","bod","capacity_mgd","composite_freq","concentration_method","conductivity","county","do","epaid","equiv_sewage_amt","extraction_method","hf183_conc","inhibition_adjust","inhibition_detect","inhibition_method","lod_ref","n1_lod","n1_loq","n1_ntc_amplify","n1_num_no_target_control","n1_num_ntc_amplify","N1","N1Error","n1_sars_cov2_lod","n1_sars_cov2_units","n2_lod","n2_loq","n2_ntc_amplify","n2_num_no_target_control","n2_num_ntc_amplify","N2","N2Error","n2_sars_cov2_lod","n2_sars_cov2_units","pcr_type","ph","PMMoV","Pop","quant_stan_ref","quant_stan_type","sample_collect_time","sample_location","sample_location_specify","sample_matrix","sample_type","state","temperature","RepDate","tss","wwtp_comments","zipcode","analytical_comments","unformatted_collectdate","mycustomer","AVG","wt"
"Fall UW-LakeShore",2020-09-11,"524794001",NA,NA,1129761,NA,5.960008,NA,NA,NA,"filtMgCl2",1880,NA,NA,NA,1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,1667360,76541,NA,"Gene copies/L",66000,140000,"N",3,NA,592161,62611,"No","Gene copies/L","qPCR",7,133373837.67,NA,"IDT","DNA-plasm","10:00",NA,NA,"Influent (Untreated Waste H2O)",NA,NA,4.5,2020-09-15 08:04:00,365,NA,NA,NA,"44085.416666666664","355590",993652.637977679,2
"Covid Sewage UW Vet",2020-09-11,"524795001",NA,NA,504,NA,5.960008,NA,NA,NA,"filtMgCl2",2440,NA,NA,NA,2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,1008,-1,NA,"Gene copies/L",33000,68000,"N",3,NA,NA,-1,"Yes","Gene copies/L","qPCR",8,4456246.92,NA,"IDT","DNA-plasm","10:00",NA,NA,"Influent (Untreated Waste H2O)",NA,NA,4.6,2020-09-15 08:04:00,42.8,NA,NA,NA,"44085.416666666664","355590",1008,1
"Madison",2020-09-15,"525378001",44.77,NA,48032,NA,5.960008,NA,56,"24hr-FWCmp","filtMgCl2",NA,"Dane",NA,"WI0024597",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,63618,5938,NA,"Gene copies/L",33000,68000,"N",3,NA,32447,4069,"Yes","Gene copies/L","qPCR",7.77,25753383.57,380000,"IDT","DNA-plasm","12:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2020-09-15 15:00:00,NA,NA,"53713",NA,"44089.5","355660",45433.6136137112,2
"Fall UW-LakeShore",2020-09-15,"525380001",NA,NA,422105,NA,5.960008,NA,NA,NA,"filtMgCl2",5930,NA,NA,NA,0.5,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",80000,260000,"N",3,NA,567799,21206,NA,"Gene copies/L",130000,270000,"N",3,NA,276410,17573,"No","Gene copies/L","qPCR",7.5,125776684.92,NA,"IDT","DNA-plasm","10:35",NA,NA,"Influent (Untreated Waste H2O)",NA,NA,NA,2020-09-15 15:00:00,4140,NA,NA,NA,"44089.440972222219","355590",396163.25118567,2
"Covid Sewage UW Vet",2020-09-15,"525382001",NA,NA,396,NA,5.960008,NA,NA,NA,"filtMgCl2",1840,NA,NA,NA,2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,NA,-1,NA,"Gene copies/L",33000,68000,"N",3,NA,792,-1,"Yes","Gene copies/L","qPCR",8,546720.5,NA,"IDT","DNA-plasm","08:30",NA,NA,"Influent (Untreated Waste H2O)",NA,NA,NA,2020-09-15 15:00:00,5.8,NA,NA,NA,"44089.354166666664","355590",792,1
"Janesville",2020-09-15,"525598001",11.05,NA,161044,26.36,5.960008,NA,16.1,"24hr-FWCmp","filtMgCl2",NA,"Rock",NA,"WI0030350",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,194439,21242,NA,"Gene copies/L",33000,68000,"N",3,NA,127649,2030,"No","Gene copies/L","qPCR",7.79,15511431.83,63500,"IDT","DNA-plasm","07:15","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",5.9,2020-09-16 13:50:00,NA,NA,"53548",NA,"44089.302083333336","355660",157543.466735374,2
"Oshkosh",2020-09-15,"525603001",10,NA,203623,35.28,5.960008,NA,20,"24hr-FWCmp","filtMgCl2",NA,"Winnebago","9.01","WI0025038",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,267733,42162,NA,"Gene copies/L",33000,68000,"N",3,NA,139514,11196,"No","Gene copies/L","qPCR",8.3,23381398,67000,"IDT","DNA-plasm","07:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",7,2020-09-16 13:50:00,NA,NA,"54902",NA,"44089.291666666664","355660",193267.953272135,2
"La Crosse",2020-09-15,"525615001",8.4,NA,82916,1.23,5.960008,NA,20,"24hr-FWCmp","filtMgCl2",NA,"La Crosse","3.83","WI0029581",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,97928,10600,NA,"Gene copies/L",33000,68000,"N",3,NA,67904,6218,"No","Gene copies/L","qPCR",7.41,3535612,85000,"IDT","DNA-plasm","07:27","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",9.7,2020-09-16 13:50:00,NA,NA,"54601",NA,"44089.310416666667","355660",81545.7105677546,2
"Manitowoc",2020-09-15,"525624001",8.16,NA,68379,17.6,5.960008,NA,15.5,"24hr-FWCmp","filtMgCl2",NA,NA,NA,"WI0024601",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,86491,5986,NA,"Gene copies/L",33000,68000,"N",3,NA,50268,2681,"No","Gene copies/L","qPCR",7.7,9871820,34450,"IDT","DNA-plasm","00:00","influent",NA,"Influent (Untreated Waste H2O)","composite",NA,8.9,2020-09-16 13:50:00,NA,NA,NA,NA,"44089","355660",65937.3155959507,2
"Wausau",2020-09-15,"525662001",4.274,NA,56080,11.82,5.960008,NA,8.2,"24hr-FWCmp","filtMgCl2",NA,"Marathon","2.63","WI0025739",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,79976,5423,NA,"Gene copies/L",33000,68000,"N",3,NA,32185,3750,"No","Gene copies/L","qPCR",7.38,22553890,42000,"IDT","DNA-plasm","08:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",3.9,2020-09-16 13:50:00,NA,NA,"54401",NA,"44089.333333333336","355660",50734.8751846301,2
