"Date","Cases","Tests","Population","Site","Per_pos"
2020-01-22,NA,NA,386168,"Madison",NA
2020-01-23,0,0,386168,"Madison",NA
2020-01-24,0,0,386168,"Madison",NA
2020-01-25,0,0,386168,"Madison",NA
2020-01-26,0,0,386168,"Madison",NA
2020-01-27,0,2,386168,"Madison",0
2020-01-28,0,1,386168,"Madison",0
2020-01-29,0,0,386168,"Madison",NA
2020-01-30,0,0,386168,"Madison",NA
2020-01-31,0,0,386168,"Madison",NA
2020-02-01,0,0,386168,"Madison",NA
2020-02-02,0,1,386168,"Madison",0
2020-02-03,0,2,386168,"Madison",0
2020-02-04,0,0,386168,"Madison",NA
2020-02-05,1,4,386168,"Madison",25
2020-02-06,0,9,386168,"Madison",0
2020-02-07,0,1,386168,"Madison",0
2020-02-08,0,0,386168,"Madison",NA
2020-02-09,0,1,386168,"Madison",0
2020-02-10,0,3,386168,"Madison",0
2020-02-11,0,3,386168,"Madison",0
2020-02-12,0,0,386168,"Madison",NA
2020-02-13,0,0,386168,"Madison",NA
2020-02-14,0,0,386168,"Madison",NA
2020-02-15,0,0,386168,"Madison",NA
2020-02-16,0,0,386168,"Madison",NA
2020-02-17,0,0,386168,"Madison",NA
2020-02-18,0,0,386168,"Madison",NA
2020-02-19,0,0,386168,"Madison",NA
2020-02-20,0,1,386168,"Madison",0
2020-02-21,0,0,386168,"Madison",NA
2020-02-22,0,2,386168,"Madison",0
2020-02-23,0,0,386168,"Madison",NA
2020-02-24,0,0,386168,"Madison",NA
2020-02-25,0,0,386168,"Madison",NA
2020-02-26,0,0,386168,"Madison",NA
2020-02-27,0,0,386168,"Madison",NA
2020-02-28,0,0,386168,"Madison",NA
2020-02-29,0,0,386168,"Madison",NA
2020-03-01,0,0,386168,"Madison",NA
2020-03-02,0,0,386168,"Madison",NA
2020-03-03,0,0,386168,"Madison",NA
2020-03-04,0,4,386168,"Madison",0
2020-03-05,0,2,386168,"Madison",0
2020-03-06,0,1,386168,"Madison",0
2020-03-07,0,0,386168,"Madison",NA
2020-03-08,0,2,386168,"Madison",0
2020-03-09,0,8,386168,"Madison",0
2020-03-10,0,17,386168,"Madison",0
2020-03-11,0,13,386168,"Madison",0
2020-03-12,0,36,386168,"Madison",0
2020-03-13,1,54,386168,"Madison",1.85185185185185
2020-03-14,1,48,386168,"Madison",2.08333333333333
2020-03-15,2,86,386168,"Madison",2.32558139534884
2020-03-16,1,76,386168,"Madison",1.31578947368421
2020-03-17,9,184,386168,"Madison",4.89130434782609
2020-03-18,3,108,386168,"Madison",2.77777777777778
2020-03-19,4,168,386168,"Madison",2.38095238095238
2020-03-20,13,391,386168,"Madison",3.32480818414322
2020-03-21,11,199,386168,"Madison",5.52763819095477
2020-03-22,5,92,386168,"Madison",5.43478260869565
2020-03-23,5,91,386168,"Madison",5.49450549450549
2020-03-24,13,218,386168,"Madison",5.96330275229358
2020-03-25,22,228,386168,"Madison",9.64912280701754
2020-03-26,15,169,386168,"Madison",8.87573964497041
2020-03-27,31,291,386168,"Madison",10.6529209621993
2020-03-28,19,140,386168,"Madison",13.5714285714286
2020-03-29,11,129,386168,"Madison",8.52713178294574
2020-03-30,15,151,386168,"Madison",9.93377483443709
2020-03-31,20,222,386168,"Madison",9.00900900900901
2020-04-01,22,202,386168,"Madison",10.8910891089109
2020-04-02,11,154,386168,"Madison",7.14285714285714
2020-04-03,13,172,386168,"Madison",7.55813953488372
2020-04-04,16,181,386168,"Madison",8.83977900552486
2020-04-05,10,100,386168,"Madison",10
2020-04-06,8,141,386168,"Madison",5.67375886524823
2020-04-07,18,171,386168,"Madison",10.5263157894737
2020-04-08,11,131,386168,"Madison",8.3969465648855
2020-04-09,7,127,386168,"Madison",5.51181102362205
2020-04-10,22,165,386168,"Madison",13.3333333333333
2020-04-11,6,115,386168,"Madison",5.21739130434783
2020-04-12,6,69,386168,"Madison",8.69565217391304
2020-04-13,5,114,386168,"Madison",4.3859649122807
2020-04-14,5,154,386168,"Madison",3.24675324675325
2020-04-15,1,126,386168,"Madison",0.793650793650794
2020-04-16,2,157,386168,"Madison",1.27388535031847
2020-04-17,6,164,386168,"Madison",3.65853658536585
2020-04-18,1,141,386168,"Madison",0.709219858156028
2020-04-19,3,87,386168,"Madison",3.44827586206897
2020-04-20,10,151,386168,"Madison",6.62251655629139
2020-04-21,3,211,386168,"Madison",1.4218009478673
2020-04-22,1,231,386168,"Madison",0.432900432900433
2020-04-23,6,259,386168,"Madison",2.31660231660232
2020-04-24,7,232,386168,"Madison",3.01724137931034
2020-04-25,3,256,386168,"Madison",1.171875
2020-04-26,3,232,386168,"Madison",1.29310344827586
2020-04-27,3,381,386168,"Madison",0.78740157480315
2020-04-28,6,545,386168,"Madison",1.10091743119266
2020-04-29,2,264,386168,"Madison",0.757575757575758
2020-04-30,4,238,386168,"Madison",1.68067226890756
2020-05-01,2,245,386168,"Madison",0.816326530612245
2020-05-02,3,245,386168,"Madison",1.22448979591837
2020-05-03,3,190,386168,"Madison",1.57894736842105
2020-05-04,5,292,386168,"Madison",1.71232876712329
2020-05-05,1,244,386168,"Madison",0.409836065573771
2020-05-06,2,371,386168,"Madison",0.539083557951482
2020-05-07,9,297,386168,"Madison",3.03030303030303
2020-05-08,8,242,386168,"Madison",3.30578512396694
2020-05-09,7,204,386168,"Madison",3.43137254901961
2020-05-10,8,215,386168,"Madison",3.72093023255814
2020-05-11,2,313,386168,"Madison",0.638977635782748
2020-05-12,7,344,386168,"Madison",2.03488372093023
2020-05-13,5,402,386168,"Madison",1.24378109452736
2020-05-14,9,802,386168,"Madison",1.12219451371571
2020-05-15,14,477,386168,"Madison",2.93501048218029
2020-05-16,18,470,386168,"Madison",3.82978723404255
2020-05-17,0,181,386168,"Madison",0
2020-05-18,4,293,386168,"Madison",1.36518771331058
2020-05-19,15,943,386168,"Madison",1.59066808059385
2020-05-20,9,708,386168,"Madison",1.27118644067797
2020-05-21,12,1270,386168,"Madison",0.94488188976378
2020-05-22,13,749,386168,"Madison",1.73564753004005
2020-05-23,4,341,386168,"Madison",1.17302052785924
2020-05-24,5,614,386168,"Madison",0.814332247557003
2020-05-25,18,1093,386168,"Madison",1.64684354986276
2020-05-26,13,688,386168,"Madison",1.88953488372093
2020-05-27,18,1412,386168,"Madison",1.27478753541076
2020-05-28,22,638,386168,"Madison",3.44827586206897
2020-05-29,19,380,386168,"Madison",5
2020-05-30,4,196,386168,"Madison",2.04081632653061
2020-05-31,2,179,386168,"Madison",1.11731843575419
2020-06-01,15,1087,386168,"Madison",1.37994480220791
2020-06-02,15,1049,386168,"Madison",1.42993326978074
2020-06-03,13,834,386168,"Madison",1.55875299760192
2020-06-04,8,721,386168,"Madison",1.10957004160888
2020-06-05,15,1018,386168,"Madison",1.47347740667976
2020-06-06,15,574,386168,"Madison",2.61324041811847
2020-06-07,12,638,386168,"Madison",1.88087774294671
2020-06-08,13,457,386168,"Madison",2.84463894967177
2020-06-09,11,1096,386168,"Madison",1.0036496350365
2020-06-10,15,485,386168,"Madison",3.09278350515464
2020-06-11,22,1628,386168,"Madison",1.35135135135135
2020-06-12,8,731,386168,"Madison",1.09439124487004
2020-06-13,21,798,386168,"Madison",2.63157894736842
2020-06-14,11,718,386168,"Madison",1.53203342618384
2020-06-15,11,406,386168,"Madison",2.70935960591133
2020-06-16,16,1007,386168,"Madison",1.5888778550149
2020-06-17,16,544,386168,"Madison",2.94117647058824
2020-06-18,19,1130,386168,"Madison",1.68141592920354
2020-06-19,29,496,386168,"Madison",5.84677419354839
2020-06-20,33,765,386168,"Madison",4.31372549019608
2020-06-21,32,919,386168,"Madison",3.48204570184984
2020-06-22,27,490,386168,"Madison",5.51020408163265
2020-06-23,56,1326,386168,"Madison",4.22322775263952
2020-06-24,75,1450,386168,"Madison",5.17241379310345
2020-06-25,77,1316,386168,"Madison",5.85106382978723
