"Date","Cases","Tests","Population","Site","Per_pos"
2020-04-11,NA,NA,386168,"Madison",NA
2020-04-12,2,112,386168,"Madison",1.78571428571429
2020-04-13,7,93,386168,"Madison",7.52688172043011
2020-04-14,5,82,386168,"Madison",6.09756097560976
2020-04-15,1,93,386168,"Madison",1.0752688172043
2020-04-16,0,145,386168,"Madison",0
2020-04-17,1,124,386168,"Madison",0.806451612903226
2020-04-18,2,142,386168,"Madison",1.40845070422535
2020-04-19,0,153,386168,"Madison",0
2020-04-20,6,132,386168,"Madison",4.54545454545455
2020-04-21,22,99,386168,"Madison",22.2222222222222
2020-04-22,4,173,386168,"Madison",2.3121387283237
2020-04-23,5,279,386168,"Madison",1.7921146953405
2020-04-24,3,284,386168,"Madison",1.05633802816901
2020-04-25,4,228,386168,"Madison",1.75438596491228
2020-04-26,5,289,386168,"Madison",1.73010380622837
2020-04-27,2,238,386168,"Madison",0.840336134453782
2020-04-28,10,485,386168,"Madison",2.06185567010309
2020-04-29,4,598,386168,"Madison",0.668896321070234
2020-04-30,5,199,386168,"Madison",2.51256281407035
2020-05-01,1,299,386168,"Madison",0.334448160535117
2020-05-02,1,166,386168,"Madison",0.602409638554217
2020-05-03,2,212,386168,"Madison",0.943396226415094
2020-05-04,7,231,386168,"Madison",3.03030303030303
2020-05-05,1,265,386168,"Madison",0.377358490566038
2020-05-06,7,256,386168,"Madison",2.734375
2020-05-07,1,363,386168,"Madison",0.275482093663912
2020-05-08,1,232,386168,"Madison",0.431034482758621
2020-05-09,3,255,386168,"Madison",1.17647058823529
2020-05-10,7,237,386168,"Madison",2.9535864978903
2020-05-11,12,228,386168,"Madison",5.26315789473684
2020-05-12,2,302,386168,"Madison",0.662251655629139
2020-05-13,3,270,386168,"Madison",1.11111111111111
2020-05-14,7,341,386168,"Madison",2.05278592375367
2020-05-15,8,878,386168,"Madison",0.911161731207289
2020-05-16,14,399,386168,"Madison",3.50877192982456
2020-05-17,12,433,386168,"Madison",2.77136258660508
2020-05-18,1,209,386168,"Madison",0.478468899521531
2020-05-19,2,283,386168,"Madison",0.706713780918728
2020-05-20,19,506,386168,"Madison",3.75494071146245
2020-05-21,9,1066,386168,"Madison",0.844277673545966
2020-05-22,10,979,386168,"Madison",1.02145045965271
2020-05-23,11,1115,386168,"Madison",0.986547085201794
2020-05-24,0,279,386168,"Madison",0
2020-05-25,5,549,386168,"Madison",0.910746812386157
2020-05-26,15,933,386168,"Madison",1.60771704180064
2020-05-27,26,687,386168,"Madison",3.78457059679767
2020-05-28,15,752,386168,"Madison",1.99468085106383
2020-05-29,23,928,386168,"Madison",2.47844827586207
2020-05-30,12,527,386168,"Madison",2.27703984819734
2020-05-31,11,567,386168,"Madison",1.94003527336861
2020-06-01,1,151,386168,"Madison",0.662251655629139
2020-06-02,13,503,386168,"Madison",2.5844930417495
2020-06-03,14,840,386168,"Madison",1.66666666666667
2020-06-04,9,1224,386168,"Madison",0.735294117647059
2020-06-05,8,977,386168,"Madison",0.818833162743091
2020-06-06,12,675,386168,"Madison",1.77777777777778
2020-06-07,23,377,386168,"Madison",6.10079575596817
2020-06-08,10,679,386168,"Madison",1.47275405007364
2020-06-09,9,1143,386168,"Madison",0.78740157480315
2020-06-10,11,1093,386168,"Madison",1.0064043915828
2020-06-11,15,384,386168,"Madison",3.90625
2020-06-12,25,1280,386168,"Madison",1.953125
2020-06-13,10,856,386168,"Madison",1.16822429906542
2020-06-14,15,430,386168,"Madison",3.48837209302326
2020-06-15,11,282,386168,"Madison",3.90070921985816
2020-06-16,10,1531,386168,"Madison",0.653167864141084
2020-06-17,17,733,386168,"Madison",2.31923601637108
2020-06-18,13,844,386168,"Madison",1.54028436018957
2020-06-19,15,940,386168,"Madison",1.59574468085106
2020-06-20,20,629,386168,"Madison",3.17965023847377
2020-06-21,27,183,386168,"Madison",14.7540983606557
2020-06-22,23,482,386168,"Madison",4.77178423236515
2020-06-23,43,1340,386168,"Madison",3.2089552238806
2020-06-24,73,899,386168,"Madison",8.12013348164627
2020-06-25,69,1244,386168,"Madison",5.54662379421222
2020-06-26,108,1029,386168,"Madison",10.4956268221574
2020-06-27,78,628,386168,"Madison",12.4203821656051
2020-06-28,79,81,386168,"Madison",97.5308641975309
2020-06-29,74,158,386168,"Madison",46.8354430379747
2020-06-30,132,1108,386168,"Madison",11.913357400722
2020-07-01,84,936,386168,"Madison",8.97435897435897
2020-07-02,87,2720,386168,"Madison",3.19852941176471
2020-07-03,101,1608,386168,"Madison",6.28109452736318
2020-07-04,117,684,386168,"Madison",17.1052631578947
2020-07-05,65,73,386168,"Madison",89.041095890411
2020-07-06,74,435,386168,"Madison",17.0114942528736
2020-07-07,48,1854,386168,"Madison",2.58899676375405
2020-07-08,56,1574,386168,"Madison",3.55781448538755
2020-07-09,58,2358,386168,"Madison",2.45971162001696
2020-07-10,96,1905,386168,"Madison",5.03937007874016
2020-07-11,99,848,386168,"Madison",11.6745283018868
2020-07-12,74,437,386168,"Madison",16.9336384439359
2020-07-13,38,292,386168,"Madison",13.013698630137
2020-07-14,78,1884,386168,"Madison",4.14012738853503
2020-07-15,73,1390,386168,"Madison",5.25179856115108
2020-07-16,44,1711,386168,"Madison",2.57159555815313
2020-07-17,54,1665,386168,"Madison",3.24324324324324
2020-07-18,50,544,386168,"Madison",9.19117647058824
2020-07-19,36,566,386168,"Madison",6.36042402826855
2020-07-20,41,341,386168,"Madison",12.0234604105572
2020-07-21,28,1225,386168,"Madison",2.28571428571429
2020-07-22,45,1651,386168,"Madison",2.72562083585706
2020-07-23,27,1364,386168,"Madison",1.97947214076246
2020-07-24,46,2181,386168,"Madison",2.10912425492893
2020-07-25,45,1482,386168,"Madison",3.03643724696356
2020-07-26,31,724,386168,"Madison",4.28176795580111
2020-07-27,35,426,386168,"Madison",8.21596244131455
2020-07-28,33,1947,386168,"Madison",1.69491525423729
2020-07-29,39,1818,386168,"Madison",2.14521452145215
2020-07-30,32,2149,386168,"Madison",1.48906468124709
2020-07-31,52,1267,386168,"Madison",4.10418310970797
2020-08-01,19,1343,386168,"Madison",1.41474311243485
2020-08-02,61,1051,386168,"Madison",5.80399619410086
2020-08-03,19,613,386168,"Madison",3.09951060358891
2020-08-04,24,1996,386168,"Madison",1.20240480961924
2020-08-05,64,2235,386168,"Madison",2.86353467561521
2020-08-06,36,1621,386168,"Madison",2.22085132634176
2020-08-07,53,1162,386168,"Madison",4.56110154905336
2020-08-08,37,820,386168,"Madison",4.51219512195122
2020-08-09,33,847,386168,"Madison",3.8961038961039
2020-08-10,10,1338,386168,"Madison",0.747384155455904
2020-08-11,22,1285,386168,"Madison",1.71206225680934
2020-08-12,40,1117,386168,"Madison",3.5810205908684
2020-08-13,25,1296,386168,"Madison",1.92901234567901
2020-08-14,56,491,386168,"Madison",11.4052953156823
2020-08-15,29,836,386168,"Madison",3.4688995215311
2020-08-16,42,225,386168,"Madison",18.6666666666667
2020-08-17,14,641,386168,"Madison",2.18408736349454
2020-08-18,12,1165,386168,"Madison",1.03004291845494
2020-08-19,21,1341,386168,"Madison",1.56599552572707
2020-08-20,23,866,386168,"Madison",2.65588914549654
2020-08-21,29,735,386168,"Madison",3.94557823129252
2020-08-22,40,478,386168,"Madison",8.36820083682008
2020-08-23,25,616,386168,"Madison",4.05844155844156
2020-08-24,19,539,386168,"Madison",3.52504638218924
2020-08-25,35,1094,386168,"Madison",3.19926873857404
2020-08-26,37,900,386168,"Madison",4.11111111111111
2020-08-27,68,1332,386168,"Madison",5.10510510510511
2020-08-28,36,706,386168,"Madison",5.09915014164306
2020-08-29,43,1044,386168,"Madison",4.11877394636015
2020-08-30,34,591,386168,"Madison",5.75296108291032
2020-08-31,8,724,386168,"Madison",1.10497237569061
2020-09-01,79,787,386168,"Madison",10.0381194409149
2020-09-02,45,880,386168,"Madison",5.11363636363636
2020-09-03,67,708,386168,"Madison",9.46327683615819
2020-09-04,140,584,386168,"Madison",23.972602739726
2020-09-05,151,626,386168,"Madison",24.1214057507987
2020-09-06,134,876,386168,"Madison",15.296803652968
2020-09-07,77,799,386168,"Madison",9.63704630788486
2020-09-08,185,284,386168,"Madison",65.1408450704225
2020-09-09,83,739,386168,"Madison",11.2313937753721
2020-09-10,391,1032,386168,"Madison",37.8875968992248
2020-09-11,255,488,386168,"Madison",52.2540983606557
2020-09-12,156,585,386168,"Madison",26.6666666666667
2020-09-13,177,826,386168,"Madison",21.4285714285714
2020-09-14,182,410,386168,"Madison",44.390243902439
2020-09-15,80,968,386168,"Madison",8.26446280991735
2020-09-16,93,877,386168,"Madison",10.6043329532497
2020-09-17,217,2801,386168,"Madison",7.74723313102463
2020-09-18,177,2015,386168,"Madison",8.78411910669975
2020-09-19,143,2098,386168,"Madison",6.81601525262154
2020-09-20,141,1232,386168,"Madison",11.4448051948052
2020-09-21,63,957,386168,"Madison",6.58307210031348
2020-09-22,48,2370,386168,"Madison",2.0253164556962
2020-09-23,71,1040,386168,"Madison",6.82692307692308
2020-09-24,128,969,386168,"Madison",13.2094943240454
2020-09-25,96,1242,386168,"Madison",7.72946859903382
2020-09-26,109,637,386168,"Madison",17.1114599686028
2020-09-27,86,536,386168,"Madison",16.044776119403
2020-09-28,114,594,386168,"Madison",19.1919191919192
2020-09-29,79,782,386168,"Madison",10.1023017902813
2020-09-30,74,862,386168,"Madison",8.58468677494199
2020-10-01,122,1152,386168,"Madison",10.5902777777778
2020-10-02,61,815,386168,"Madison",7.48466257668712
2020-10-03,81,626,386168,"Madison",12.9392971246006
2020-10-04,78,136,386168,"Madison",57.3529411764706
2020-10-05,52,384,386168,"Madison",13.5416666666667
2020-10-06,110,1181,386168,"Madison",9.31414055884843
2020-10-07,56,1058,386168,"Madison",5.2930056710775
2020-10-08,87,1289,386168,"Madison",6.74941815360745
2020-10-09,139,1252,386168,"Madison",11.1022364217252
2020-10-10,129,775,386168,"Madison",16.6451612903226
2020-10-11,129,184,386168,"Madison",70.1086956521739
2020-10-12,103,543,386168,"Madison",18.9686924493554
2020-10-13,80,786,386168,"Madison",10.1781170483461
2020-10-14,104,843,386168,"Madison",12.3368920521945
2020-10-15,139,1022,386168,"Madison",13.600782778865
2020-10-16,149,1329,386168,"Madison",11.2114371708051
2020-10-17,0,0,386168,"Madison",NA
2020-10-18,147,7000,386168,"Madison",2.1
2020-10-19,2,3207,386168,"Madison",0.062363579669473
2020-10-20,233,761,386168,"Madison",30.6176084099869
2020-10-21,226,557,386168,"Madison",40.5745062836625
2020-10-22,144,1140,386168,"Madison",12.6315789473684
2020-10-23,188,1127,386168,"Madison",16.681455190772
2020-10-24,188,1251,386168,"Madison",15.0279776179057
2020-10-25,215,1088,386168,"Madison",19.7610294117647
2020-10-26,127,1063,386168,"Madison",11.9473189087488
2020-10-27,212,1139,386168,"Madison",18.612818261633
2020-10-28,291,695,386168,"Madison",41.8705035971223
2020-10-29,131,631,386168,"Madison",20.7606973058637
2020-10-30,308,1240,386168,"Madison",24.8387096774194
2020-10-31,257,1434,386168,"Madison",17.9218967921897
2020-11-01,139,1351,386168,"Madison",10.2886750555144
2020-11-02,147,708,386168,"Madison",20.7627118644068
2020-11-03,446,1575,386168,"Madison",28.3174603174603
2020-11-04,153,956,386168,"Madison",16.0041841004184
2020-11-05,247,883,386168,"Madison",27.9728199320498
2020-11-06,379,1176,386168,"Madison",32.2278911564626
2020-11-07,348,1377,386168,"Madison",25.2723311546841
2020-11-08,186,785,386168,"Madison",23.6942675159236
2020-11-09,222,923,386168,"Madison",24.0520043336945
2020-11-10,536,1645,386168,"Madison",32.5835866261398
2020-11-11,332,1230,386168,"Madison",26.9918699186992
2020-11-12,490,1193,386168,"Madison",41.0729253981559
2020-11-13,324,954,386168,"Madison",33.9622641509434
2020-11-14,238,1838,386168,"Madison",12.9488574537541
2020-11-15,315,1357,386168,"Madison",23.2129697862933
2020-11-16,373,705,386168,"Madison",52.9078014184397
2020-11-17,513,1735,386168,"Madison",29.5677233429395
2020-11-18,437,1659,386168,"Madison",26.3411693791441
2020-11-19,278,993,386168,"Madison",27.9959718026183
2020-11-20,374,1789,386168,"Madison",20.9055338177753
2020-11-21,257,1103,386168,"Madison",23.3000906618314
2020-11-22,156,1267,386168,"Madison",12.3125493291239
2020-11-23,110,1138,386168,"Madison",9.66608084358524
2020-11-24,593,1691,386168,"Madison",35.0680070963927
2020-11-25,181,900,386168,"Madison",20.1111111111111
2020-11-26,276,1115,386168,"Madison",24.7533632286996
2020-11-27,38,727,386168,"Madison",5.22696011004127
2020-11-28,313,564,386168,"Madison",55.4964539007092
2020-11-29,276,906,386168,"Madison",30.4635761589404
2020-11-30,199,760,386168,"Madison",26.1842105263158
2020-12-01,108,271,386168,"Madison",39.8523985239852
2020-12-02,192,445,386168,"Madison",43.1460674157303
2020-12-03,295,965,386168,"Madison",30.5699481865285
2020-12-04,252,946,386168,"Madison",26.6384778012685
2020-12-05,186,723,386168,"Madison",25.7261410788382
