"Site"	"Date"
"MMSD-P11"	2020-09-29
"MMSD-P11"	2020-09-30
"MMSD-P11"	2020-10-06
"MMSD-P11"	2020-10-07
"MMSD-P11"	2020-10-13
"MMSD-P11"	2020-10-14
"MMSD-P11"	2020-10-20
"MMSD-P11"	2020-10-21
"MMSD-P11"	2020-10-27
"MMSD-P11"	2020-10-28
"MMSD-P11"	2020-11-03
"MMSD-P11"	2020-11-04
"MMSD-P11"	2020-11-10
"MMSD-P11"	2020-11-11
"MMSD-P11"	2020-11-17
"MMSD-P11"	2020-11-18
"MMSD-P11"	2020-11-24
"MMSD-P11"	2020-11-25
"MMSD-P18"	2020-09-29
"MMSD-P18"	2020-09-30
"MMSD-P18"	2020-10-06
"MMSD-P18"	2020-10-07
"MMSD-P18"	2020-10-13
"MMSD-P18"	2020-10-14
"MMSD-P18"	2020-10-20
"MMSD-P18"	2020-10-21
"MMSD-P18"	2020-10-27
"MMSD-P18"	2020-10-28
"MMSD-P18"	2020-11-03
"MMSD-P18"	2020-11-04
"MMSD-P18"	2020-11-10
"MMSD-P18"	2020-11-11
"MMSD-P18"	2020-11-17
"MMSD-P18"	2020-11-18
"MMSD-P18"	2020-11-24
"MMSD-P18"	2020-11-25
"MMSD-P2"	2020-09-29
"MMSD-P2"	2020-09-30
"MMSD-P2"	2020-10-06
"MMSD-P2"	2020-10-07
"MMSD-P2"	2020-10-13
"MMSD-P2"	2020-10-14
"MMSD-P2"	2020-10-20
"MMSD-P2"	2020-10-21
"MMSD-P2"	2020-10-27
"MMSD-P2"	2020-10-28
"MMSD-P2"	2020-11-03
"MMSD-P2"	2020-11-04
"MMSD-P2"	2020-11-10
"MMSD-P2"	2020-11-11
"MMSD-P2"	2020-11-17
"MMSD-P2"	2020-11-18
"MMSD-P2"	2020-11-24
"MMSD-P2"	2020-11-25
"MMSD-P7"	2020-09-29
"MMSD-P7"	2020-09-30
"MMSD-P7"	2020-10-06
"MMSD-P7"	2020-10-07
"MMSD-P7"	2020-10-13
"MMSD-P7"	2020-10-14
"MMSD-P7"	2020-10-20
"MMSD-P7"	2020-10-21
"MMSD-P7"	2020-10-27
"MMSD-P7"	2020-10-28
"MMSD-P7"	2020-11-03
"MMSD-P7"	2020-11-04
"MMSD-P7"	2020-11-10
"MMSD-P7"	2020-11-11
"MMSD-P7"	2020-11-17
"MMSD-P7"	2020-11-18
"MMSD-P7"	2020-11-24
"MMSD-P7"	2020-11-25
"MMSD-P8"	2020-09-29
"MMSD-P8"	2020-09-30
"MMSD-P8"	2020-10-06
"MMSD-P8"	2020-10-07
"MMSD-P8"	2020-10-13
"MMSD-P8"	2020-10-14
"MMSD-P8"	2020-10-20
"MMSD-P8"	2020-10-21
"MMSD-P8"	2020-10-27
"MMSD-P8"	2020-10-28
"MMSD-P8"	2020-11-03
"MMSD-P8"	2020-11-04
"MMSD-P8"	2020-11-10
"MMSD-P8"	2020-11-11
"MMSD-P8"	2020-11-17
"MMSD-P8"	2020-11-18
"MMSD-P8"	2020-11-24
"MMSD-P8"	2020-11-25
