"Date","Site","FirstConfirmed"
2021-01-01,"Ashland Sewage Utility",3
2021-01-01,"Beloit WWTF",6
2021-01-01,"Berlin WWTF",3
2021-01-01,"Black River Falls WWTF",6
2021-01-01,"Burlington WPCC",5
2021-01-01,"Clintonville Wastewater Utility",1
2021-01-01,"Columbus WWTF",1
2021-01-01,"Green Bay MSD",1
2021-01-01,"Heart of the Valley MSD",6
2021-01-01,"Hudson WWTF",3
2021-01-01,"Janesville WW Utility",11
2021-01-01,"Kenosha WWTF",7
2021-01-01,"La Crosse WWTP",2
2021-01-01,"Marinette Wastewater Utility",2
2021-01-01,"Marshfield WWTF",3
2021-01-01,"Milwaukee MSD Jones Island",122
2021-01-01,"Milwaukee MSD South Shore",190
2021-01-01,"Monroe WWTF",4
2021-01-01,"New Richmond WWTF",2
2021-01-01,"Oshkosh WWTP",25
2021-01-01,"Peshtigo WWTF",2
2021-01-01,"Platteville WWTF",1
2021-01-01,"Plymouth Utilities WWTF",4
2021-01-01,"Portage WWTF",4
2021-01-01,"Racine Wastewater Utility",84
2021-01-01,"River Falls Municipal Utility WWTF",2
2021-01-01,"Sheboygan WWTP",37
2021-01-01,"Sparta WWTF",7
2021-01-01,"Stevens Point WWTF",5
2021-01-01,"Superior WWTP",9
2021-01-01,"Waupaca WWTF",4
2021-01-01,"Whitewater WWTF",1
2021-01-01,"Wisconsin Rapids WWTF",3
2022-01-01,"Appleton WWTF",22
2022-01-01,"Baraboo WWTF",11
2022-01-01,"Beloit WWTF",14
2022-01-01,"Berlin WWTF",2
2022-01-01,"Black River Falls WWTF",3
2022-01-01,"Clintonville Wastewater Utility",2
2022-01-01,"Columbus WWTF",4
2022-01-01,"De Pere WWTF",51
2022-01-01,"Eau Claire WWTF",1
2022-01-01,"Fox River WPCC",3
2022-01-01,"Green Bay MSD",6
2022-01-01,"Heart of the Valley MSD",55
2022-01-01,"Hudson WWTF",24
2022-01-01,"Janesville WW Utility",36
2022-01-01,"La Crosse WWTP",1
2022-01-01,"Lodi WWTF",3
2022-01-01,"Madison MSD WWTF",1
2022-01-01,"Marshfield WWTF",8
2022-01-01,"Merrill WWTP",7
2022-01-01,"Milwaukee MSD Jones Island",602
2022-01-01,"Milwaukee MSD South Shore",423
2022-01-01,"New Richmond WWTF",7
2022-01-01,"Oshkosh WWTP",134
2022-01-01,"Plymouth Utilities WWTF",1
2022-01-01,"Portage WWTF",7
2022-01-01,"River Falls Municipal Utility WWTF",11
2022-01-01,"Sheboygan WWTP",21
2022-01-01,"South Milwaukee WWTF",1
2022-01-01,"Stevens Point WWTF",19
2022-01-01,"Superior WWTP",5
2022-01-01,"Waukesha WWTP",6
2022-01-01,"Waupaca WWTF",5
2022-01-01,"Wisconsin Rapids WWTF",15
2021-01-10,"Appleton WWTF",17
2021-01-10,"Ashland Sewage Utility",4
2021-01-10,"Baraboo WWTF",2
2021-01-10,"Beloit WWTF",16
2021-01-10,"Cedarburg WWTF",2
2021-01-10,"Chippewa Falls WWTF",8
2021-01-10,"Clintonville Wastewater Utility",3
2021-01-10,"Columbus WWTF",1
2021-01-10,"De Pere WWTF",5
2021-01-10,"Eau Claire WWTF",21
2021-01-10,"Fox River WPCC",10
2021-01-10,"Grafton Water & Wastewater Utility",2
2021-01-10,"Hartford WPCF",1
2021-01-10,"Heart of the Valley MSD",12
2021-01-10,"Janesville WW Utility",11
2021-01-10,"Kenosha WWTF",6
2021-01-10,"La Crosse WWTP",29
2021-01-10,"Lake Geneva WWTP",1
2021-01-10,"Madison MSD WWTF",98
2021-01-10,"Manitowoc WWTF",13
2021-01-10,"Marinette Wastewater Utility",3
2021-01-10,"Marshfield WWTF",5
2021-01-10,"Mauston WWTF",1
2021-01-10,"Menomonie WWTF",1
2021-01-10,"Merrill WWTP",1
2021-01-10,"Milwaukee MSD Jones Island",125
2021-01-10,"Milwaukee MSD South Shore",170
2021-01-10,"Monroe WWTF",1
2021-01-10,"New Richmond WWTF",9
2021-01-10,"Oconomowoc WWTP",10
2021-01-10,"Oshkosh WWTP",13
2021-01-10,"Peshtigo WWTF",1
2021-01-10,"Plymouth Utilities WWTF",4
2021-01-10,"Port Washington WWTP",1
2021-01-10,"Portage WWTF",2
2021-01-10,"Racine Wastewater Utility",35
2021-01-10,"Rib Mountain MSD WWTF",11
2021-01-10,"Sheboygan WWTP",21
2021-01-10,"South Milwaukee WWTF",3
2021-01-10,"Sparta WWTF",6
2021-01-10,"Spooner WWTP",1
2021-01-10,"Stevens Point WWTF",4
2021-01-10,"Sun Prairie WWTF",6
2021-01-10,"Superior WWTP",5
2021-01-10,"Washburn WWTP",1
2021-01-10,"Watertown WWTP",7
2021-01-10,"Waukesha WWTP",25
2021-01-10,"Waupaca WWTF",1
2021-01-10,"Wausau Water Works WWTF",10
2021-01-10,"Whitewater WWTF",1
2021-01-10,"Wisconsin Rapids WWTF",1
2022-01-10,"Algoma WWTF",4
2022-01-10,"Appleton WWTF",111
2022-01-10,"Ashland Sewage Utility",5
2022-01-10,"Baraboo WWTF",45
2022-01-10,"Beloit WWTF",180
2022-01-10,"Berlin WWTF",20
2022-01-10,"Black River Falls WWTF",18
2022-01-10,"Burlington WPCC",42
