"Date","Site","ReportedCases","EpisodeCases","CollectedCases","ConfirmedCases"
2020-10-30,"Hudson",NA,NA,NA,NA
2021-01-04,"Hudson",NA,NA,NA,NA
2021-01-07,"Hudson",NA,NA,NA,NA
2021-01-10,"Hudson",NA,NA,NA,NA
2021-01-12,"Hudson",NA,NA,NA,NA
2021-01-14,"Hudson",NA,-999,NA,NA
2021-01-15,"Hudson",NA,-999,-999,NA
2021-01-16,"Hudson",NA,-999,-999,-999
2021-01-17,"Hudson",-999,-999,NA,-999
2021-01-18,"Hudson",-999,5,-999,-999
2021-01-19,"Hudson",-999,-999,-999,NA
2021-01-20,"Hudson",NA,-999,-999,6
2021-01-21,"Hudson",6,-999,-999,5
2021-01-22,"Hudson",5,-999,-999,-999
2021-01-23,"Hudson",-999,-999,-999,NA
2021-01-24,"Hudson",NA,-999,-999,-999
2021-01-25,"Hudson",-999,-999,6,5
2021-01-26,"Hudson",5,-999,-999,-999
2021-01-27,"Hudson",-999,-999,NA,5
2021-01-28,"Hudson",5,NA,-999,-999
2021-01-29,"Hudson",-999,-999,-999,NA
2021-01-30,"Hudson",NA,-999,-999,-999
2021-01-31,"Hudson",-999,-999,-999,-999
2021-02-01,"Hudson",-999,-999,-999,-999
2021-02-02,"Hudson",-999,NA,NA,NA
2021-02-04,"Hudson",-999,NA,-999,NA
2021-02-05,"Hudson",NA,-999,-999,-999
2021-02-06,"Hudson",-999,NA,-999,5
2021-02-07,"Hudson",5,-999,NA,-999
2021-02-08,"Hudson",-999,-999,NA,NA
2021-02-09,"Hudson",NA,-999,-999,-999
2021-02-10,"Hudson",-999,-999,-999,-999
2021-02-11,"Hudson",-999,NA,NA,-999
2021-02-12,"Hudson",-999,-999,-999,NA
2021-02-13,"Hudson",NA,-999,-999,-999
2021-02-14,"Hudson",-999,NA,-999,NA
2021-02-15,"Hudson",NA,-999,-999,-999
2021-02-16,"Hudson",-999,NA,NA,-999
2021-02-17,"Hudson",-999,NA,NA,-999
2021-02-18,"Hudson",-999,-999,-999,NA
2021-02-19,"Hudson",NA,NA,-999,-999
2021-02-20,"Hudson",-999,-999,-999,-999
2021-02-21,"Hudson",-999,-999,-999,-999
2021-02-22,"Hudson",-999,-999,-999,-999
2021-02-23,"Hudson",-999,NA,-999,-999
2021-02-24,"Hudson",-999,NA,NA,-999
2021-02-25,"Hudson",-999,NA,NA,-999
2021-02-26,"Hudson",-999,NA,NA,-999
2021-02-27,"Hudson",-999,-999,-999,-999
2021-02-28,"Hudson",-999,-999,NA,-999
2021-03-01,"Hudson",-999,NA,NA,NA
2021-03-03,"Hudson",NA,-999,-999,NA
2021-03-04,"Hudson",NA,-999,-999,5
2021-03-05,"Hudson",5,NA,-999,NA
2021-03-06,"Hudson",NA,-999,-999,NA
2021-03-07,"Hudson",NA,-999,-999,NA
2021-03-08,"Hudson",NA,NA,-999,5
2021-03-09,"Hudson",5,-999,-999,-999
2021-03-10,"Hudson",-999,-999,-999,-999
2021-03-11,"Hudson",-999,NA,NA,NA
2021-03-13,"Hudson",-999,-999,NA,-999
2021-03-14,"Hudson",-999,-999,-999,-999
2021-03-15,"Hudson",-999,NA,-999,-999
2021-03-16,"Hudson",-999,NA,NA,-999
2021-03-17,"Hudson",-999,NA,NA,-999
2021-03-18,"Hudson",-999,NA,NA,-999
2021-03-19,"Hudson",-999,NA,NA,NA
2021-04-07,"Hudson",-999,NA,NA,NA
2020-05-07,"Kenosha",NA,NA,NA,NA
2020-06-24,"Kenosha",NA,NA,NA,NA
2020-12-01,"Kenosha",-999,NA,NA,NA
2020-12-23,"Kenosha",NA,NA,NA,NA
2020-12-26,"Kenosha",NA,NA,NA,NA
2020-12-30,"Kenosha",-999,NA,NA,NA
2021-01-02,"Kenosha",NA,-999,NA,NA
2021-01-03,"Kenosha",NA,NA,NA,NA
2021-01-06,"Kenosha",NA,-999,NA,NA
2021-01-07,"Kenosha",NA,-999,NA,NA
2021-01-08,"Kenosha",NA,-999,NA,NA
2021-01-09,"Kenosha",NA,-999,NA,NA
2021-01-10,"Kenosha",NA,5,NA,NA
2021-01-11,"Kenosha",NA,6,NA,NA
2021-01-12,"Kenosha",NA,13,NA,NA
2021-01-13,"Kenosha",NA,14,NA,NA
2021-01-14,"Kenosha",NA,11,NA,NA
2021-01-15,"Kenosha",NA,36,32,NA
2021-01-16,"Kenosha",NA,26,27,6
2021-01-17,"Kenosha",6,15,14,-999
2021-01-18,"Kenosha",-999,27,39,34
2021-01-19,"Kenosha",34,29,43,28
2021-01-20,"Kenosha",28,22,17,28
2021-01-21,"Kenosha",28,29,30,34
2021-01-22,"Kenosha",34,28,28,36
2021-01-23,"Kenosha",36,16,15,17
2021-01-24,"Kenosha",17,24,12,8
2021-01-25,"Kenosha",8,37,50,33
2021-01-26,"Kenosha",33,18,13,21
2021-01-27,"Kenosha",21,21,20,36
2021-01-28,"Kenosha",36,20,31,21
2021-01-29,"Kenosha",21,30,35,16
2021-01-30,"Kenosha",16,17,24,23
2021-01-31,"Kenosha",23,10,-999,14
2021-02-01,"Kenosha",14,22,26,39
2021-02-02,"Kenosha",39,14,17,19
2021-02-03,"Kenosha",19,15,12,32
2021-02-04,"Kenosha",32,17,20,14
2021-02-05,"Kenosha",14,17,20,12
2021-02-06,"Kenosha",12,9,7,14
2021-02-07,"Kenosha",14,-999,9,-999
2021-02-08,"Kenosha",-999,15,19,29
2021-02-09,"Kenosha",29,14,7,12
2021-02-10,"Kenosha",12,15,18,22
2021-02-11,"Kenosha",22,6,12,13
2021-02-12,"Kenosha",13,9,13,15
2021-02-13,"Kenosha",15,-999,6,10
2021-02-14,"Kenosha",10,11,-999,-999
2021-02-15,"Kenosha",-999,13,17,18
2021-02-16,"Kenosha",18,7,8,9
2021-02-17,"Kenosha",9,13,12,17
2021-02-18,"Kenosha",17,10,12,9
2021-02-19,"Kenosha",9,6,6,9
2021-02-20,"Kenosha",9,6,6,-999
2021-02-21,"Kenosha",-999,7,-999,-999
2021-02-22,"Kenosha",-999,9,17,10
2021-02-23,"Kenosha",10,-999,-999,9
2021-02-24,"Kenosha",9,6,10,11
2021-02-25,"Kenosha",11,9,10,7
2021-02-26,"Kenosha",7,13,8,-999
2021-02-27,"Kenosha",-999,11,11,5
2021-02-28,"Kenosha",5,11,6,-999
2021-03-01,"Kenosha",-999,7,13,30
2021-03-02,"Kenosha",30,5,11,14
2021-03-03,"Kenosha",14,10,-999,10
2021-03-04,"Kenosha",10,12,12,9
2021-03-05,"Kenosha",9,-999,9,5
2021-03-06,"Kenosha",5,-999,-999,-999
2021-03-07,"Kenosha",-999,-999,NA,-999
2021-03-08,"Kenosha",-999,5,6,15
2021-03-09,"Kenosha",15,10,11,5
2021-03-10,"Kenosha",5,10,10,-999
2021-03-11,"Kenosha",-999,-999,5,14
2021-03-12,"Kenosha",14,10,11,5
2021-03-13,"Kenosha",5,-999,-999,6
2021-03-14,"Kenosha",6,-999,-999,NA
2021-03-15,"Kenosha",NA,6,13,13
2021-03-16,"Kenosha",13,NA,NA,8
2021-03-17,"Kenosha",8,NA,NA,7
2021-03-18,"Kenosha",7,NA,NA,NA
2021-03-23,"Kenosha",-999,NA,NA,-999
2021-03-24,"Kenosha",-999,NA,NA,-999
2021-03-25,"Kenosha",-999,NA,NA,NA
2021-04-14,"Kenosha",-999,NA,NA,NA
2020-06-17,"Madison",NA,NA,NA,NA
2020-07-22,"Madison",NA,NA,NA,NA
2020-08-01,"Madison",NA,NA,NA,NA
2020-08-12,"Madison",NA,NA,NA,NA
2020-08-14,"Madison",NA,NA,NA,NA
2020-08-19,"Madison",NA,NA,NA,NA
2020-08-22,"Madison",NA,NA,NA,NA
2020-09-15,"Madison",NA,NA,NA,NA
2020-09-17,"Madison",NA,NA,NA,NA
2020-10-27,"Madison",NA,NA,NA,NA
2020-11-28,"Madison",NA,NA,NA,NA
2020-12-08,"Madison",NA,NA,NA,NA
2020-12-10,"Madison",NA,NA,NA,NA
2020-12-15,"Madison",NA,NA,NA,NA
2020-12-17,"Madison",NA,NA,NA,-999
2020-12-18,"Madison",-999,-999,NA,NA
2020-12-19,"Madison",NA,NA,NA,NA
2020-12-22,"Madison",-999,NA,NA,NA
2020-12-30,"Madison",NA,NA,NA,NA
2021-01-01,"Madison",NA,-999,NA,NA
2021-01-02,"Madison",NA,-999,NA,NA
2021-01-03,"Madison",NA,-999,NA,NA
2021-01-04,"Madison",NA,NA,NA,-999
2021-01-05,"Madison",-999,-999,NA,NA
2021-01-06,"Madison",NA,-999,NA,NA
2021-01-07,"Madison",NA,-999,NA,NA
2021-01-08,"Madison",NA,5,NA,NA
2021-01-09,"Madison",NA,-999,NA,NA
2021-01-10,"Madison",NA,6,NA,NA
2021-01-11,"Madison",NA,8,NA,NA
2021-01-12,"Madison",NA,27,NA,NA
2021-01-13,"Madison",NA,36,NA,NA
2021-01-14,"Madison",NA,37,NA,NA
2021-01-15,"Madison",NA,82,95,12
2021-01-16,"Madison",12,92,82,69
2021-01-17,"Madison",69,59,35,56
2021-01-18,"Madison",56,80,61,36
2021-01-19,"Madison",36,110,138,47
2021-01-20,"Madison",47,104,104,124
2021-01-21,"Madison",124,73,102,140
2021-01-22,"Madison",140,85,98,98
2021-01-23,"Madison",98,77,82,87
2021-01-24,"Madison",87,58,38,69
2021-01-25,"Madison",69,107,93,47
2021-01-26,"Madison",47,99,125,54
2021-01-27,"Madison",54,86,95,163
2021-01-28,"Madison",163,84,88,97
2021-01-29,"Madison",97,66,81,102
2021-01-30,"Madison",102,53,61,81
2021-01-31,"Madison",81,41,10,52
2021-02-01,"Madison",52,105,98,40
2021-02-02,"Madison",40,109,138,65
2021-02-03,"Madison",65,89,97,160
2021-02-04,"Madison",160,61,72,93
2021-02-05,"Madison",93,74,97,76
2021-02-06,"Madison",76,60,59,64
2021-02-07,"Madison",64,59,26,84
2021-02-08,"Madison",84,60,69,30
2021-02-09,"Madison",30,94,97,67
2021-02-10,"Madison",67,51,61,97
2021-02-11,"Madison",97,53,66,71
2021-02-12,"Madison",71,49,40,65
2021-02-13,"Madison",65,56,44,44
2021-02-14,"Madison",44,63,23,35
2021-02-15,"Madison",35,97,85,40
2021-02-16,"Madison",40,114,130,72
2021-02-17,"Madison",72,87,119,130
2021-02-18,"Madison",130,73,87,128
2021-02-19,"Madison",128,59,72,86
2021-02-20,"Madison",86,40,46,65
2021-02-21,"Madison",65,33,22,46
2021-02-22,"Madison",46,66,75,23
2021-02-23,"Madison",23,47,51,73
2021-02-24,"Madison",73,58,36,48
2021-02-25,"Madison",48,55,65,52
2021-02-26,"Madison",52,32,39,66
2021-02-27,"Madison",66,32,38,35
2021-02-28,"Madison",35,34,24,38
2021-03-01,"Madison",38,69,58,25
2021-03-02,"Madison",25,77,82,48
2021-03-03,"Madison",48,27,49,88
2021-03-04,"Madison",88,40,40,36
2021-03-05,"Madison",36,31,36,58
2021-03-06,"Madison",58,33,28,37
2021-03-07,"Madison",37,26,15,21
2021-03-08,"Madison",21,49,37,15
2021-03-09,"Madison",15,50,53,37
2021-03-10,"Madison",37,32,48,56
2021-03-11,"Madison",56,22,44,49
2021-03-12,"Madison",49,31,33,37
2021-03-13,"Madison",37,28,28,37
2021-03-14,"Madison",37,9,12,17
2021-03-15,"Madison",17,18,39,32
2021-03-16,"Madison",32,NA,NA,27
2021-03-17,"Madison",27,NA,NA,10
2021-03-18,"Madison",10,NA,NA,NA
2021-03-21,"Madison",-999,NA,NA,NA
2021-03-23,"Madison",-999,NA,NA,NA
2021-03-29,"Madison",-999,NA,NA,NA
2021-03-31,"Madison",-999,NA,NA,NA
2020-04-14,"Merrill",NA,NA,NA,NA
2021-01-11,"Merrill",NA,NA,NA,NA
2021-01-13,"Merrill",NA,NA,NA,NA
2021-01-15,"Merrill",NA,-999,-999,NA
2021-01-16,"Merrill",NA,-999,-999,-999
2021-01-17,"Merrill",-999,-999,-999,-999
2021-01-18,"Merrill",-999,-999,-999,-999
2021-01-19,"Merrill",-999,-999,-999,-999
2021-01-20,"Merrill",-999,-999,6,-999
2021-01-21,"Merrill",-999,-999,-999,-999
2021-01-22,"Merrill",-999,-999,-999,5
2021-01-23,"Merrill",5,NA,NA,-999
2021-01-24,"Merrill",-999,-999,NA,-999
2021-01-25,"Merrill",-999,-999,-999,-999
2021-01-26,"Merrill",-999,-999,-999,-999
2021-01-27,"Merrill",-999,-999,-999,-999
2021-01-28,"Merrill",-999,NA,-999,5
2021-01-29,"Merrill",5,-999,NA,-999
2021-01-30,"Merrill",-999,-999,-999,NA
2021-01-31,"Merrill",NA,-999,NA,NA
2021-02-01,"Merrill",NA,NA,-999,-999
2021-02-02,"Merrill",-999,-999,-999,NA
2021-02-03,"Merrill",NA,NA,NA,-999
2021-02-04,"Merrill",-999,-999,-999,NA
2021-02-05,"Merrill",NA,NA,NA,-999
2021-02-06,"Merrill",-999,NA,NA,-999
2021-02-07,"Merrill",-999,-999,-999,NA
2021-02-08,"Merrill",NA,-999,-999,NA
2021-02-09,"Merrill",NA,NA,NA,-999
2021-02-10,"Merrill",-999,NA,NA,-999
2021-02-11,"Merrill",-999,NA,NA,NA
2021-02-14,"Merrill",NA,-999,-999,NA
2021-02-15,"Merrill",NA,NA,NA,NA
2021-02-17,"Merrill",NA,-999,NA,-999
2021-02-18,"Merrill",-999,-999,-999,-999
2021-02-19,"Merrill",-999,NA,NA,-999
2021-02-20,"Merrill",-999,-999,NA,NA
2021-02-21,"Merrill",NA,-999,NA,NA
2021-02-22,"Merrill",NA,-999,-999,NA
2021-02-23,"Merrill",NA,-999,-999,-999
2021-02-24,"Merrill",-999,NA,-999,-999
2021-02-25,"Merrill",-999,NA,-999,-999
2021-02-26,"Merrill",-999,-999,-999,-999
2021-02-27,"Merrill",-999,NA,-999,-999
2021-02-28,"Merrill",-999,NA,NA,NA
2021-03-02,"Merrill",-999,NA,NA,NA
2021-03-04,"Merrill",NA,NA,NA,NA
2021-03-08,"Merrill",-999,-999,-999,NA
2021-03-09,"Merrill",NA,NA,-999,-999
2021-03-10,"Merrill",-999,-999,-999,-999
2021-03-11,"Merrill",-999,NA,NA,-999
2021-03-12,"Merrill",-999,NA,NA,-999
2021-03-13,"Merrill",-999,-999,NA,-999
2021-03-14,"Merrill",-999,NA,NA,NA
2021-03-16,"Merrill",NA,NA,NA,NA
2021-03-19,"Merrill",-999,NA,NA,NA
2021-01-06,"Oshkosh",NA,NA,NA,NA
2021-01-09,"Oshkosh",NA,-999,NA,NA
2021-01-10,"Oshkosh",NA,-999,NA,NA
2021-01-11,"Oshkosh",NA,-999,NA,NA
2021-01-12,"Oshkosh",NA,-999,NA,NA
2021-01-13,"Oshkosh",NA,7,NA,NA
2021-01-14,"Oshkosh",NA,7,NA,NA
2021-01-15,"Oshkosh",NA,19,20,-999
2021-01-16,"Oshkosh",-999,16,13,-999
2021-01-17,"Oshkosh",-999,11,-999,12
2021-01-18,"Oshkosh",12,15,23,10
2021-01-19,"Oshkosh",10,23,28,12
2021-01-20,"Oshkosh",12,10,14,33
2021-01-21,"Oshkosh",33,11,18,22
2021-01-22,"Oshkosh",22,12,8,16
2021-01-23,"Oshkosh",16,6,6,10
2021-01-24,"Oshkosh",10,5,-999,8
2021-01-25,"Oshkosh",8,10,9,5
2021-01-26,"Oshkosh",5,9,16,-999
2021-01-27,"Oshkosh",-999,5,8,16
2021-01-28,"Oshkosh",16,6,-999,11
2021-01-29,"Oshkosh",11,9,12,-999
2021-01-30,"Oshkosh",-999,6,-999,-999
2021-01-31,"Oshkosh",-999,8,-999,5
2021-02-01,"Oshkosh",5,9,10,9
2021-02-02,"Oshkosh",9,5,11,-999
2021-02-03,"Oshkosh",-999,12,10,14
2021-02-04,"Oshkosh",14,5,10,10
2021-02-05,"Oshkosh",10,7,8,6
2021-02-06,"Oshkosh",6,-999,-999,-999
2021-02-07,"Oshkosh",-999,-999,-999,5
2021-02-08,"Oshkosh",5,6,7,-999
2021-02-09,"Oshkosh",-999,7,-999,5
2021-02-10,"Oshkosh",5,-999,10,11
2021-02-11,"Oshkosh",11,7,5,6
2021-02-12,"Oshkosh",6,9,7,6
2021-02-13,"Oshkosh",6,-999,6,-999
2021-02-14,"Oshkosh",-999,5,-999,6
2021-02-15,"Oshkosh",6,-999,-999,6
2021-02-16,"Oshkosh",6,-999,5,-999
2021-02-17,"Oshkosh",-999,7,7,7
2021-02-18,"Oshkosh",7,5,-999,5
2021-02-19,"Oshkosh",5,6,-999,5
2021-02-20,"Oshkosh",5,-999,-999,NA
2021-02-21,"Oshkosh",NA,-999,-999,7
2021-02-22,"Oshkosh",7,6,11,5
2021-02-23,"Oshkosh",5,-999,8,7
2021-02-24,"Oshkosh",7,-999,-999,14
2021-02-25,"Oshkosh",14,NA,-999,-999
2021-02-26,"Oshkosh",-999,-999,-999,-999
2021-02-27,"Oshkosh",-999,-999,-999,NA
2021-02-28,"Oshkosh",NA,-999,-999,-999
2021-03-01,"Oshkosh",-999,5,7,-999
2021-03-02,"Oshkosh",-999,6,-999,5
2021-03-03,"Oshkosh",5,-999,5,7
2021-03-04,"Oshkosh",7,-999,6,-999
2021-03-05,"Oshkosh",-999,-999,-999,5
2021-03-06,"Oshkosh",5,NA,NA,NA
2021-03-08,"Oshkosh",-999,-999,5,-999
2021-03-09,"Oshkosh",-999,-999,-999,7
2021-03-10,"Oshkosh",7,6,-999,NA
2021-03-11,"Oshkosh",NA,-999,-999,5
2021-03-12,"Oshkosh",5,-999,-999,-999
2021-03-13,"Oshkosh",-999,5,-999,NA
2021-03-14,"Oshkosh",NA,-999,5,7
2021-03-15,"Oshkosh",7,-999,7,-999
2021-03-16,"Oshkosh",-999,NA,NA,5
2021-03-17,"Oshkosh",5,NA,NA,-999
2021-03-18,"Oshkosh",-999,NA,NA,-999
2021-03-19,"Oshkosh",-999,NA,NA,NA
2020-11-17,"Platteville",NA,NA,NA,NA
2021-01-16,"Platteville",NA,-999,-999,-999
2021-01-17,"Platteville",-999,-999,-999,-999
2021-01-18,"Platteville",-999,-999,NA,NA
2021-01-19,"Platteville",NA,NA,-999,-999
