"Site","Sample ID","Date","Filter","Well","N1Ct","N1","N1LOD","N2CT","N2","N2LOD","PMMOVCT","PMMOV","BCoV","HF183CT","HF183","CrPCT","CrP","Notes","...20"
"Hudson","Hudson (M) rep 1",2021-01-25,"1","1","33.25","70268","N","33.700000000000003","40121","Y","24.96","8335368","1.92","28.05","236887243","29.66","119023953",NA,NA
"Hudson","Hudson (M) rep 1",2021-01-25,"1","2","31.86","171547","N","32.869999999999997","67953","N","24.89","8756036","2.06","28.22","210693707","29.92","99677418",NA,NA
"Hudson","Hudson (M) rep 1",2021-01-25,"1","3","32.880000000000003","88856","N","33.21","54756","Y","25.15","7268880","1.95","28.6","162485283","30.06","90503607",NA,NA
"Hudson","Hudson (M) rep 2",2021-01-25,"2","1","32.200000000000003","138137","N","32.11","110372","N","25.21","6945237","4.1500000000000004","27.88","265156508","29.94","98203103",NA,NA
"Hudson","Hudson (M) rep 2",2021-01-25,"2","2","31.89","168132","N","32.159999999999997","107241","N","25.22","6917604","4.76","28.27","203828374","30.05","91220128",NA,NA
"Hudson","Hudson (M) rep 2",2021-01-25,"2","3","32.72","98634","N","32.880000000000003","67862","N","25.18","7103485","6.1","27.71","296482397","29.95","97912594",NA,NA
"Hudson","Hudson (M) rep 3",2021-01-25,"3","1","32.369999999999997","123509","N","32.450000000000003","88829","N","25.28","6643187","2.4300000000000002","28.58","164425133","30.28","78106846",NA,NA
"Hudson","Hudson (M) rep 3",2021-01-25,"3","2","32.590000000000003","107217","N","32.92","65828","N","24.98","8215284","2.69","28.53","170701740","30.36","74252234",NA,NA
"Hudson","Hudson (M) rep 3",2021-01-25,"3","3","32.799999999999997","93576","N","32.369999999999997","93760","N","25.27","6655620","2.58","28.61","161122042","30.7","58830450",NA,NA
"Hudson","Hudson (T) rep 1",2021-01-26,"1","1","34.090000000000003","40919","N","33.75","38814","Y","25.61","5248853","9.81","26.88","521108616","29.47","135171723",NA,NA
"Hudson","Hudson (T) rep 1",2021-01-26,"1","2","33.44","62173","N","32.270000000000003","99935","N","25.12","7437519","16.649999999999999","27.19","421145814","30.42","70881345",NA,NA
"Hudson","Hudson (T) rep 1",2021-01-26,"1","3","34.14","39554","Y","32.880000000000003","67724","N","24.86","8920444","19.510000000000002","27.21","416032748","30.11","87566834",NA,NA
"Hudson","Hudson (T) rep 2",2021-01-26,"2","1","33.619999999999997","55203","N","33.25","53360","Y","25.42","5993050","3.47","27.64","310852382","29.81","107444564",NA,NA
"Hudson","Hudson (T) rep 2",2021-01-26,"2","2","34.340000000000003","34862","Y","34.36","26316","Y","24.84","9028675","5.74","27.78","284053323","30.16","85047240",NA,NA
"Hudson","Hudson (T) rep 2",2021-01-26,"2","3","36.79","7233","Y","32.76","73260","N","24.69","10047943","5.79","27.46","351475715","30.3","77321220",NA,NA
"Hudson","Hudson (T) rep 3",2021-01-26,"3","1","35.11","21216","Y","33.799999999999997","37615","Y","25.04","7828346","3.34","28.42","183650714","30.49","67920387",NA,NA
"Hudson","Hudson (T) rep 3",2021-01-26,"3","2","35.270000000000003","19186","Y","32.96","64107","Y","25.39","6145169","3.75","28.46","178754657","31.1","44766724",NA,NA
"Hudson","Hudson (T) rep 3",2021-01-26,"3","3","33.89","46461","N","34.119999999999997","30623","Y","25.53","5541607","5.26","28.3","198814556","30.97","48844466",NA,NA
"Hudson","Hudson (W) rep 1",2021-01-27,"1","1","32.94","85501","N","32.64","78799","N","24.06","15674388","3.07","26.38","730537790","29.51","131730694",NA,NA
"Hudson","Hudson (W) rep 1",2021-01-27,"1","2","31.74","185155","N","32.46","88363","N","24.62","10583605","3.72","26.91","511859302","29.8","108587122",NA,NA
"Hudson","Hudson (W) rep 1",2021-01-27,"1","3","32.53","111710","N","32.36","94527","N","24.16","14627794","3.91","26.93","503348902","29.92","99843699",NA,NA
"Hudson","Hudson (W) rep 2",2021-01-27,"2","1","32.369999999999997","123513","N","33.47","46402","Y","25.68","4997725","4.91","27.16","431355696","29.75","112333683",NA,NA
"Hudson","Hudson (W) rep 2",2021-01-27,"2","2","32.18","139442","N","32.25","101071","N","25.44","5925034","5.25","27.2","419673358","30.09","89222886",NA,NA
"Hudson","Hudson (W) rep 2",2021-01-27,"2","3","33.01","81684","N","32.159999999999997","107126","N","25.65","5108858","5.03","27.36","377284565","30.09","88643592",NA,NA
"Hudson","Hudson (W) rep 3",2021-01-27,"3","1","31.79","179349","N","32.92","66028","N","25.39","6151108","1.72","26.8","549588135","30.34","75203909",NA,NA
