"Date","Site","EpisodeCase","SpecCollectedCase","FirstConfirmed"
2020-08-01,"MMSD-P11",13,4,NA
2020-08-01,"MMSD-P18",10,7,NA
2020-08-01,"MMSD-P2",11,6,NA
2020-08-01,"MMSD-P7",2,1,NA
2020-08-01,"MMSD-P8",10,5,NA
2020-08-02,"MMSD-P11",8,3,1
2020-08-02,"MMSD-P18",8,1,4
2020-08-02,"MMSD-P2",9,3,1
2020-08-02,"MMSD-P7",2,NA,NA
2020-08-02,"MMSD-P8",1,1,2
2020-08-03,"MMSD-P11",15,18,5
2020-08-03,"MMSD-P18",6,6,2
2020-08-03,"MMSD-P2",13,9,6
2020-08-03,"MMSD-P7",1,2,1
2020-08-03,"MMSD-P8",15,10,3
2020-08-04,"MMSD-P11",17,14,16
2020-08-04,"MMSD-P18",6,4,7
2020-08-04,"MMSD-P2",9,4,10
2020-08-04,"MMSD-P7",1,2,2
2020-08-04,"MMSD-P8",7,5,9
2020-08-05,"MMSD-P11",10,11,10
2020-08-05,"MMSD-P18",5,5,3
2020-08-05,"MMSD-P2",7,15,3
2020-08-05,"MMSD-P7",1,1,2
2020-08-05,"MMSD-P8",6,9,3
2020-08-06,"MMSD-P11",7,9,15
2020-08-06,"MMSD-P18",8,7,6
2020-08-06,"MMSD-P2",7,7,12
2020-08-06,"MMSD-P7",3,1,1
2020-08-06,"MMSD-P8",7,5,11
2020-08-07,"MMSD-P11",10,3,10
2020-08-07,"MMSD-P18",5,9,4
2020-08-07,"MMSD-P2",5,10,12
2020-08-07,"MMSD-P8",6,2,3
2020-08-08,"MMSD-P11",5,2,4
2020-08-08,"MMSD-P18",7,3,10
2020-08-08,"MMSD-P2",5,3,8
2020-08-08,"MMSD-P7",4,2,2
2020-08-08,"MMSD-P8",11,10,4
2020-08-09,"MMSD-P11",6,3,1
2020-08-09,"MMSD-P18",3,1,2
2020-08-09,"MMSD-P2",5,1,2
2020-08-09,"MMSD-P7",3,2,NA
2020-08-09,"MMSD-P8",3,1,6
2020-08-10,"MMSD-P11",7,12,3
2020-08-10,"MMSD-P18",9,10,3
2020-08-10,"MMSD-P2",6,6,1
2020-08-10,"MMSD-P7",2,4,4
2020-08-10,"MMSD-P8",5,6,6
2020-08-11,"MMSD-P11",10,9,11
2020-08-11,"MMSD-P18",11,10,10
2020-08-11,"MMSD-P2",11,8,6
2020-08-11,"MMSD-P7",6,3,4
2020-08-11,"MMSD-P8",7,11,5
2020-08-12,"MMSD-P11",2,12,6
2020-08-12,"MMSD-P18",11,5,4
2020-08-12,"MMSD-P2",9,11,7
2020-08-12,"MMSD-P7",4,4,1
2020-08-12,"MMSD-P8",2,5,3
2020-08-13,"MMSD-P11",8,11,17
2020-08-13,"MMSD-P18",5,9,10
2020-08-13,"MMSD-P2",1,4,11
2020-08-13,"MMSD-P7",1,1,3
2020-08-13,"MMSD-P8",1,3,8
2020-08-14,"MMSD-P11",5,7,10
2020-08-14,"MMSD-P18",15,14,5
2020-08-14,"MMSD-P2",7,5,3
2020-08-14,"MMSD-P7",1,3,2
2020-08-14,"MMSD-P8",4,6,7
2020-08-15,"MMSD-P11",5,2,9
2020-08-15,"MMSD-P18",3,6,18
2020-08-15,"MMSD-P2",7,7,8
2020-08-15,"MMSD-P7",2,1,4
2020-08-15,"MMSD-P8",2,1,3
2020-08-16,"MMSD-P11",4,2,1
2020-08-16,"MMSD-P18",4,4,7
2020-08-16,"MMSD-P2",2,1,4
2020-08-17,"MMSD-P11",7,2,1
2020-08-17,"MMSD-P18",14,8,3
2020-08-17,"MMSD-P2",10,9,3
2020-08-17,"MMSD-P7",1,1,1
2020-08-17,"MMSD-P8",1,2,4
2020-08-18,"MMSD-P11",11,7,3
2020-08-18,"MMSD-P18",11,10,5
2020-08-18,"MMSD-P2",12,8,4
2020-08-18,"MMSD-P7",3,1,2
2020-08-19,"MMSD-P11",9,13,3
2020-08-19,"MMSD-P18",7,4,9
2020-08-19,"MMSD-P2",12,8,6
2020-08-19,"MMSD-P7",3,3,1
2020-08-19,"MMSD-P8",1,1,NA
2020-08-20,"MMSD-P11",6,5,10
2020-08-20,"MMSD-P18",6,11,7
2020-08-20,"MMSD-P2",7,8,10
2020-08-20,"MMSD-P7",3,4,NA
2020-08-20,"MMSD-P8",2,3,1
2020-08-21,"MMSD-P11",10,12,12
2020-08-21,"MMSD-P18",8,11,7
2020-08-21,"MMSD-P2",10,6,7
2020-08-21,"MMSD-P7",1,NA,5
2020-08-21,"MMSD-P8",2,3,1
2020-08-22,"MMSD-P11",1,6,5
2020-08-22,"MMSD-P18",11,7,9
2020-08-22,"MMSD-P2",9,8,8
2020-08-22,"MMSD-P7",3,NA,1
2020-08-22,"MMSD-P8",1,NA,1
2020-08-23,"MMSD-P11",4,1,6
2020-08-23,"MMSD-P18",4,1,8
2020-08-23,"MMSD-P2",14,5,6
2020-08-23,"MMSD-P7",3,NA,NA
2020-08-23,"MMSD-P8",1,NA,3
2020-08-24,"MMSD-P11",13,7,6
2020-08-24,"MMSD-P18",10,16,10
2020-08-24,"MMSD-P2",24,19,12
2020-08-24,"MMSD-P7",4,2,NA
2020-08-24,"MMSD-P8",4,3,1
2020-08-25,"MMSD-P11",14,15,6
2020-08-25,"MMSD-P18",14,13,12
2020-08-25,"MMSD-P2",45,28,14
2020-08-25,"MMSD-P7",3,5,3
2020-08-25,"MMSD-P8",9,3,2
2020-08-26,"MMSD-P11",6,6,15
2020-08-26,"MMSD-P18",15,9,13
2020-08-26,"MMSD-P2",37,16,32
2020-08-26,"MMSD-P7",2,4,4
2020-08-26,"MMSD-P8",6,4,4
2020-08-27,"MMSD-P11",6,7,6
2020-08-27,"MMSD-P18",6,12,11
2020-08-27,"MMSD-P2",53,34,10
2020-08-27,"MMSD-P7",8,9,6
2020-08-27,"MMSD-P8",8,8,1
2020-08-28,"MMSD-P11",3,4,8
2020-08-28,"MMSD-P18",4,5,5
2020-08-28,"MMSD-P2",45,22,13
2020-08-28,"MMSD-P7",1,1,3
2020-08-28,"MMSD-P8",7,6,8
2020-08-29,"MMSD-P11",7,6,3
2020-08-29,"MMSD-P18",8,7,5
2020-08-29,"MMSD-P2",39,17,21
2020-08-29,"MMSD-P8",6,5,4
2020-08-30,"MMSD-P11",2,NA,NA
2020-08-30,"MMSD-P18",4,1,2
2020-08-30,"MMSD-P2",57,6,4
2020-08-30,"MMSD-P8",4,1,NA
2020-08-31,"MMSD-P11",12,13,10
2020-08-31,"MMSD-P18",8,8,12
2020-08-31,"MMSD-P2",122,74,40
2020-08-31,"MMSD-P7",3,3,4
