WWTP,date,population_served,n1_sars_cov2_conc,n2_sars_cov2_conc,average_flow_rate,geoMean,sars_cov2_adj_load_log10,n
Algoma WWTF,2020-10-06,3171,10000,16500,0.498,12845.2325786651,0.304775072839582,34
Algoma WWTF,2020-10-13,3171,52846,55955,0.499,54378.2854639607,0.932329813848895,34
Algoma WWTF,2020-10-20,3171,40090,16500,0.402,25719.3506916485,0.513289811289595,34
Algoma WWTF,2020-10-27,3171,183437,165726,0.67,174356.76144618,1.56631735438073,34
Algoma WWTF,2020-11-03,3171,1574735,1896871,0.489,1728313.96285079,2.42573525567233,34
Algoma WWTF,2020-11-10,3171,267387,232507,0.463,249337.821457155,1.56117290958165,34
Algoma WWTF,2020-11-17,3171,75686,125985,0.76,97648.8643559156,1.36928454711642,34
Algoma WWTF,2020-11-24,3171,209814,235780,0.533,222418.400587721,1.57270168040925,34
Algoma WWTF,2020-12-01,3171,443628,375413,0.515,408097.682380089,1.82137511540071,34
Algoma WWTF,2020-12-08,3171,264854,277608,0.471,271156.023779668,1.6050439219102,34
Algoma WWTF,2020-12-15,3171,109432,143498,0.474,125312.701415299,1.27257719199003,34
Algoma WWTF,2020-12-22,3171,225907,408087,0.41,303627.584236018,1.59392883889008,34
Algoma WWTF,2020-12-29,3171,788394,1140661,0.447,948309.173441869,2.12606123281975,34
Algoma WWTF,2021-01-05,3171,64011,85785,0.3547,74102.5211109582,0.918497930213005,34
Algoma WWTF,2021-01-12,3171,227672,457193,0.429,322629.888100901,1.63996564766823,34
Algoma WWTF,2021-01-19,3171,20000,70674,0.56,37596.2764113682,0.822136618894149,34
Algoma WWTF,2021-01-26,3171,130851,86559,0.65,106425.239999729,1.33876175284423,34
Algoma WWTF,2021-02-02,3171,4515894,3840368,0.437,4164456.12403252,2.75884348573901,34
Algoma WWTF,2021-02-09,3171,1390082,974624,0.415,1163961.88905307,2.18279061537266,34
Algoma WWTF,2021-02-16,3171,545372,498903,0.406,521620.289977298,1.82468426778201,34
Algoma WWTF,2021-02-23,3171,20000,33000,0.375,25690.4651573303,0.482606993471565,34
Algoma WWTF,2021-03-02,3171,20000,33000,0.473,25690.4651573303,0.583436866481657,34
Algoma WWTF,2021-03-09,3171,20000,33000,0.418,25690.4651573303,0.529752007518881,34
Algoma WWTF,2021-03-16,3171,20000,33000,0.524,25690.4651573303,0.627907012727572,34
Algoma WWTF,2021-03-23,3171,20000,33000,0.53,25690.4651573303,0.632851595344635,34
Algoma WWTF,2021-03-30,3171,20000,33000,0.574,25690.4651573303,0.667487618141819,34
Algoma WWTF,2021-04-06,3171,43002,33000,0.533,37670.4924310793,0.801532264365019,34
Algoma WWTF,2021-04-13,3171,20000,33000,0.81,25690.4651573303,0.817060744622495,34
Algoma WWTF,2021-04-20,3171,20000,33000,0.5,25690.4651573303,0.607545730079864,34
Algoma WWTF,2021-04-26,3171,20000,33000,0.501,25690.4651573303,0.608413451611091,34
Algoma WWTF,2021-05-04,3171,20000,33000,0.912,25690.4651573303,0.868570564072262,34
Algoma WWTF,2021-05-11,3171,20000,33000,0.524,25690.4651573303,0.627907012727572,34
Algoma WWTF,2021-05-18,3171,32000,50000,0.475,40000,0.77755735892574,34
