Date	Site	Negative	Positive
12/25/2020	UW_S	0	0
12/25/2020	UW_D	0	0
12/23/2020	UW_S	0	0
12/23/2020	UW_D	3	0
12/22/2020	UW_S	0	0
12/22/2020	UW_D	12	0
12/21/2020	UW_S	0	0
12/21/2020	UW_D	8	0
12/20/2020	UW_S	0	0
12/20/2020	UW_D	0	0
12/18/2020	UW_S	19	0
12/18/2020	UW_D	44	0
12/17/2020	UW_S	32	0
12/17/2020	UW_D	76	0
12/16/2020	UW_S	2	0
12/16/2020	UW_D	17	0
12/15/2020	UW_S	29	0
12/15/2020	UW_D	67	0
12/14/2020	UW_S	34	0
12/14/2020	UW_D	86	0
12/11/2020	UW_S	30	0
12/11/2020	UW_D	81	1
12/10/2020	UW_S	36	0
12/10/2020	UW_D	79	0
12/09/2020	UW_S	1	0
12/09/2020	UW_D	17	0
12/08/2020	UW_S	31	0
12/08/2020	UW_D	94	0
12/07/2020	UW_S	41	0
12/07/2020	UW_D	76	0
12/05/2020	UW_S	0	0
12/05/2020	UW_D	0	0
12/04/2020	UW_S	33	0
12/04/2020	UW_D	76	0
12/03/2020	UW_S	38	0
12/03/2020	UW_D	82	1
12/02/2020	UW_S	0	0
12/02/2020	UW_D	4	0
12/01/2020	UW_S	32	0
12/01/2020	UW_D	76	0
11/30/2020	UW_S	26	1
11/30/2020	UW_D	99	1
11/27/2020	UW_S	0	0
11/27/2020	UW_D	2	0
11/25/2020	UW_S	14	1
11/25/2020	UW_D	72	0
11/24/2020	UW_S	60	1
11/24/2020	UW_D	152	1
11/23/2020	UW_S	50	0
11/23/2020	UW_D	146	4
11/22/2020	UW_S	0	0
11/22/2020	UW_D	8	0
11/21/2020	UW_S	3	0
11/21/2020	UW_D	10	0
11/20/2020	UW_S	50	0
11/20/2020	UW_D	59	1
11/19/2020	UW_S	19	0
11/19/2020	UW_D	150	1
11/18/2020	UW_S	219	3
11/18/2020	UW_D	124	0
11/17/2020	UW_S	29	4
11/17/2020	UW_D	162	2
11/16/2020	UW_S	74	4
11/16/2020	UW_D	224	7
11/13/2020	UW_S	125	9
11/13/2020	UW_D	129	2
11/12/2020	UW_S	173	4
11/12/2020	UW_D	173	2
11/11/2020	UW_S	25	1
11/11/2020	UW_D	184	1
11/10/2020	UW_S	57	3
11/10/2020	UW_D	196	4
11/09/2020	UW_S	289	10
11/09/2020	UW_D	186	2
11/06/2020	UW_S	69	4
11/06/2020	UW_D	139	1
11/05/2020	UW_S	80	4
11/05/2020	UW_D	174	2
11/04/2020	UW_S	65	4
11/04/2020	UW_D	178	1
11/03/2020	UW_S	82	0
11/03/2020	UW_D	163	5
11/02/2020	UW_S	83	2
11/02/2020	UW_D	183	1
11/01/2020	UW_S	0	0
11/01/2020	UW_D	0	0
10/31/2020	UW_S	0	0
10/31/2020	UW_D	0	0
10/30/2020	UW_S	78	1
10/30/2020	UW_D	150	0
10/29/2020	UW_S	71	0
10/29/2020	UW_D	173	2
10/28/2020	UW_S	74	0
10/28/2020	UW_D	193	1
10/27/2020	UW_S	73	2
10/27/2020	UW_D	186	5
10/26/2020	UW_S	72	1
10/26/2020	UW_D	157	2
10/24/2020	UW_S	0	0
10/24/2020	UW_D	0	0
10/23/2020	UW_S	67	1
10/23/2020	UW_D	137	2
10/22/2020	UW_S	61	0
10/22/2020	UW_D	143	0
10/21/2020	UW_S	55	0
10/21/2020	UW_D	194	0
10/20/2020	UW_S	64	2
10/20/2020	UW_D	163	0
10/19/2020	UW_S	91	0
10/19/2020	UW_D	160	0
10/16/2020	UW_S	70	1
10/16/2020	UW_D	140	0
10/15/2020	UW_S	70	0
10/15/2020	UW_D	185	1
10/14/2020	UW_S	63	2
10/14/2020	UW_D	180	0
10/13/2020	UW_S	74	1
10/13/2020	UW_D	181	1
10/12/2020	UW_S	99	0
10/12/2020	UW_D	176	0
10/09/2020	UW_S	77	0
10/09/2020	UW_D	128	0
10/08/2020	UW_S	57	1
10/08/2020	UW_D	152	0
10/07/2020	UW_S	75	0
10/07/2020	UW_D	191	0
10/06/2020	UW_S	86	1
10/06/2020	UW_D	189	2
10/05/2020	UW_S	82	0
10/05/2020	UW_D	181	0
10/02/2020	UW_S	77	0
10/02/2020	UW_D	141	0
10/01/2020	UW_S	74	1
10/01/2020	UW_D	155	0
09/30/2020	UW_S	69	1
09/30/2020	UW_D	204	0
09/29/2020	UW_S	62	0
09/29/2020	UW_D	187	1
09/28/2020	UW_S	95	2
09/28/2020	UW_D	197	0
09/25/2020	UW_S	10	0
09/25/2020	UW_D	73	0
09/24/2020	UW_S	14	0
09/24/2020	UW_D	123	0
09/23/2020	UW_S	12	0
09/23/2020	UW_D	126	0
09/22/2020	UW_S	99	2
09/22/2020	UW_D	103	2
09/21/2020	UW_S	178	8
09/21/2020	UW_D	89	0
09/18/2020	UW_S	17	1
09/18/2020	UW_D	68	2
09/17/2020	UW_S	154	17
09/17/2020	UW_D	91	2
09/16/2020	UW_S	138	20
09/16/2020	UW_D	115	1
09/15/2020	UW_S	24	5
09/15/2020	UW_D	138	2
09/14/2020	UW_S	35	11
09/14/2020	UW_D	147	6
09/11/2020	UW_S	179	38
09/11/2020	UW_D	96	4
09/10/2020	UW_S	189	30
09/10/2020	UW_D	137	4
09/09/2020	UW_S	119	33
09/09/2020	UW_D	159	1
09/08/2020	UW_S	132	57
09/08/2020	UW_D	160	8
09/04/2020	UW_S	123	17
09/04/2020	UW_D	123	2
09/03/2020	UW_S	127	10
09/03/2020	UW_D	132	3
09/02/2020	UW_S	118	5
09/02/2020	UW_D	144	2
09/01/2020	UW_S	105	4
09/01/2020	UW_D	136	6
08/31/2020	UW_S	90	3
08/31/2020	UW_D	83	0
08/30/2020	UW_S	105	3
08/30/2020	UW_D	121	0
08/29/2020	UW_S	119	1
08/29/2020	UW_D	155	3
08/28/2020	UW_S	148	2
08/28/2020	UW_D	149	3
08/27/2020	UW_S	138	4
08/27/2020	UW_D	152	3
08/26/2020	UW_S	135	3
08/26/2020	UW_D	149	0
08/25/2020	UW_S	147	0
08/25/2020	UW_D	204	3
08/24/2020	UW_S	18	0
08/24/2020	UW_D	21	0
08/21/2020	UW_S	0	0
08/21/2020	UW_D	3	0
08/20/2020	UW_S	3	0
08/20/2020	UW_D	0	0
08/19/2020	UW_S	0	0
08/19/2020	UW_D	2	0
