Date	Site	Negative	Positive
05/07/2021	UW_S	9	0
05/07/2021	UW_D	23	0
05/06/2021	UW_S	19	0
05/06/2021	UW_D	51	0
05/05/2021	UW_S	23	0
05/05/2021	UW_D	71	0
05/04/2021	UW_S	102	0
05/04/2021	UW_D	117	0
05/03/2021	UW_S	111	0
05/03/2021	UW_D	140	0
05/02/2021	UW_S	5	0
05/02/2021	UW_D	34	0
05/01/2021	UW_S	12	0
05/01/2021	UW_D	27	0
04/30/2021	UW_S	209	0
04/30/2021	UW_D	326	1
04/29/2021	UW_S	104	0
04/29/2021	UW_D	161	0
04/28/2021	UW_S	62	0
04/28/2021	UW_D	98	0
04/27/2021	UW_S	110	0
04/27/2021	UW_D	185	0
04/26/2021	UW_S	248	0
04/26/2021	UW_D	344	1
04/25/2021	UW_S	18	0
04/25/2021	UW_D	26	0
04/24/2021	UW_S	4	0
04/24/2021	UW_D	17	0
04/23/2021	UW_S	201	0
04/23/2021	UW_D	305	0
04/22/2021	UW_S	125	0
04/22/2021	UW_D	234	1
04/21/2021	UW_S	65	0
04/21/2021	UW_D	107	0
04/20/2021	UW_S	122	0
04/20/2021	UW_D	194	0
04/19/2021	UW_S	289	0
04/19/2021	UW_D	410	0
04/18/2021	UW_S	13	0
04/18/2021	UW_D	13	0
04/17/2021	UW_S	11	0
04/17/2021	UW_D	30	0
04/16/2021	UW_S	226	0
04/16/2021	UW_D	345	0
04/15/2021	UW_S	160	0
04/15/2021	UW_D	237	0
04/14/2021	UW_S	59	0
04/14/2021	UW_D	115	0
04/13/2021	UW_S	144	0
04/13/2021	UW_D	215	0
04/12/2021	UW_S	287	1
04/12/2021	UW_D	436	1
04/11/2021	UW_S	22	0
04/11/2021	UW_D	29	0
04/10/2021	UW_S	7	0
04/10/2021	UW_D	18	0
04/09/2021	UW_S	199	0
04/09/2021	UW_D	314	0
04/08/2021	UW_S	125	0
04/08/2021	UW_D	203	0
04/07/2021	UW_S	69	0
04/07/2021	UW_D	113	0
04/06/2021	UW_S	100	0
04/06/2021	UW_D	146	0
04/05/2021	UW_S	226	0
04/05/2021	UW_D	386	0
04/04/2021	UW_S	16	0
04/04/2021	UW_D	15	0
04/03/2021	UW_S	7	0
04/03/2021	UW_D	19	0
04/02/2021	UW_S	140	0
